model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,3,0.2006283752014487,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.999999242411616,0.9090909090909092,0.9545450757512626,0.2727250000189392,0.2727250000189392,0.0009999977272537,1,
Catch22,0.0,3,6.329435647735124,0.7727272727272727,0.7142857142857143,0.9090909090909092,0.9999969696464638,0.8,0.9545439393686864,1.090900000075757,0.2727250000189392,0.0009999950757165,1,
QUANT,0.0,3,2.357866315103068,0.7727272727272727,0.8333333333333334,0.9090909090909092,0.999998484823232,0.8695652173913043,0.9545446969570706,0.5454500000378785,0.2727250000189392,0.000999996843408,1,
ExtraTrees,0.0,3,0.1685405458334784,4.559117647058823,0.8928571428571429,0.7352941176470589,0.9999992646936272,0.8064516129032258,0.8676466911703431,0.2647036764889704,0.7941110294669113,0.0009999950979983,2,
Catch22,0.0,3,8.170036761257723,2.769705882352941,0.8235294117647058,0.8235294117647058,0.9999985293872544,0.8235294117647058,0.91176397057598,0.5294073529779408,0.5294073529779408,0.0009999955881985,2,
QUANT,0.0,3,2.3195092715049173,-0.3491176470588235,0.8461538461538461,0.9705882352941176,0.9999985293872544,0.9041095890410958,0.985293382340686,0.5294073529779408,0.0882345588296568,0.0009999978349492,2,
ExtraTrees,0.0,3,0.124128508193783,1.3333333333333333,0.6666666666666666,0.8888888888888888,0.9999962962345668,0.7619047619047619,0.944442592561728,1.333322222314814,0.3333305555787035,0.0009999939814313,3,
Catch22,0.0,3,5.164910473461079,8.11111111111111,0.2272727272727272,0.5555555555555556,0.9999842589969092,0.3225806451612903,0.7777699072762324,5.66661944483796,1.333322222314814,0.0009999748454693,3,
QUANT,0.0,3,2.141549004279244,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759252,0.8,0.944443055532407,0.9999916667361104,0.3333305555787035,0.0009999950616872,3,
ExtraTrees,0.0,3,0.1229442841496015,6.0,0.7142857142857143,0.6666666666666666,0.9999977777407402,0.6896551724137931,0.8333322222037034,0.7999933333888885,0.9999916667361106,0.0009999923147507,4,
Catch22,0.0,3,4.935846919929028,0.6713333333333333,0.5714285714285714,0.8,0.9999949999166652,0.6666666666666666,0.8999974999583327,1.799985000124999,0.5999950000416664,0.000999991111037,4,
QUANT,0.0,3,2.952683665117475,1.8046666666666664,0.7222222222222222,0.8666666666666667,0.9999972221759252,0.7878787878787878,0.933331944421296,0.9999916667361106,0.3999966666944442,0.0009999947221782,4,
ExtraTrees,0.0,3,0.1198856854279584,5.702702702702703,0.8064516129032258,0.6756756756756757,0.9999986413440368,0.7352941176470589,0.8378371585098563,0.4891038530514646,0.9782077061029292,0.0009999934332178,5,
Catch22,0.0,3,4.946502502829013,2.744864864864865,0.5087719298245614,0.7837837837837838,0.9999936596055052,0.6170212765957447,0.8918887216946445,2.2824846475735017,0.6521384707352861,0.0009999892818038,5,
QUANT,0.0,3,2.3784226864594022,3.3732432432432438,0.8285714285714286,0.7837837837837838,0.9999986413440368,0.8055555555555556,0.8918912125639102,0.4891038530514646,0.6521384707352861,0.0009999950937834,5,
ExtraTrees,0.0,5,0.2701580588789967,-0.0454545454545454,0.9130434782608696,0.9545454545454546,0.9999992423989892,0.9333333333333332,0.977272348472222,0.2727250000189392,0.1363625000094696,0.0009999984216777,1,
Catch22,0.0,5,10.369323796745672,1.681818181818182,0.6785714285714286,0.8636363636363636,0.9999965907954508,0.76,0.9318164772159072,1.2272625000852266,0.4090875000284089,0.0009999939392424,1,
