model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
DummyADL,0,3,0.0793244513924372,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.44435264512786,0.5,1
DummyFall,0,3,0.002713704614364142,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333307,0.0,-0.43629661991751467,0.5,1
ExtraTrees,0,3,0.20976397522422693,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.999999242411616,0.9090909090909091,0.9545450757512626,0.27272500001893923,0.27272500001893923,2.4444333333333335,0.5,1
MiniRocket,0,3,1.2608680448563307,2.409090909090909,0.8260869565217391,0.8636363636363636,0.999998484823232,0.8444444444444444,0.9318174242297979,0.5454500000378785,0.4090875000284089,2.444426394918431,0.5,1
Catch22,0,3,6.597087352187604,1.5,0.9047619047619048,0.8636363636363636,0.999999242411616,0.8837209302325582,0.9318178030239899,0.27272500001893923,0.4090875000284089,2.444429160637125,0.5,1
QUANT,0,3,2.4030729005912805,-0.18181818181818182,0.84,0.9545454545454546,0.999998484823232,0.8936170212765957,0.9772719696843433,0.5454500000378785,0.13636250000946962,2.4444347403108475,0.5,1
ResNet,0,3,3.2557206243633474,6.2727272727272725,0.7368421052631579,0.6363636363636364,0.9999981060290398,0.6829268292682927,0.8181808711963381,0.6818125000473482,1.090900000075757,2.4444041485780414,0.5,1
Ensemble-All,,3,0.009947837599975173,1.9090909090909092,0.8260869565217391,0.8636363636363636,0.999998484823232,0.8444444444444444,0.9318174242297979,0.5454500000378785,0.4090875000284089,2.444426394918431,,1
Ensemble-ts,,3,0.008966676999989431,1.9090909090909092,0.8260869565217391,0.8636363636363636,0.999998484823232,0.8444444444444444,0.9318174242297979,0.5454500000378785,0.4090875000284089,2.444426394918431,,1
DummyADL,0,3,0.04765503570670976,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,3.777635906106693,0.5,2
DummyFall,0,3,0.0005752968997941888,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333305,0.0,-0.6742765944179773,0.5,2
ExtraTrees,0,3,0.12872725390207404,4.559117647058823,0.8928571428571429,0.7352941176470589,0.9999992646936272,0.8064516129032258,0.8676466911703431,0.2647036764889704,0.7941110294669113,3.7777360749338604,0.5,2
MiniRocket,0,3,1.1860592026595291,1.3826470588235293,0.8823529411764706,0.8823529411764706,0.999999019591503,0.8823529411764706,0.9411759803839868,0.3529382353186272,0.3529382353186272,3.7777555555555558,0.5,2
Catch22,0,3,6.659935283370537,2.2294117647058824,0.9333333333333333,0.8235294117647058,0.9999995097957515,0.875,0.9117644607802287,0.1764691176593136,0.5294073529779408,3.7777499758818327,0.5,2
QUANT,0,3,2.45770727392334,0.1411764705882352,0.8205128205128205,0.9411764705882353,0.9999982842851303,0.8767123287671232,0.9705873774366828,0.6176419118075976,0.1764691176593136,3.777759752369931,0.5,2
ResNet,0,3,1.7349902659885543,8.69970588235294,0.9473684210526315,0.5294117647058824,0.9999997548978757,0.6792452830188679,0.764705759801879,0.0882345588296568,1.411752941274509,3.777709631779097,0.5,2
Ensemble-All,,3,0.013671704399894225,1.4708823529411763,0.9090909090909091,0.8823529411764706,0.9999992646936272,0.8955223880597015,0.9411761029350489,0.2647036764889704,0.3529382353186272,3.7777569384149023,,2
Ensemble-ts,,3,0.009603013999973578,1.4120588235294118,0.9090909090909091,0.8823529411764706,0.9999992646936272,0.8955223880597015,0.9411761029350489,0.2647036764889704,0.3529382353186272,3.7777569384149023,,2
DummyADL,0,3,0.050161747238690366,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,0.9999624457341247,0.5,3
DummyFall,0,3,0.0004984672827831325,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333305,0.0,-0.17848498087534692,0.5,3
ExtraTrees,0,3,0.1345848418148219,1.3333333333333333,0.6666666666666666,0.8888888888888888,0.9999962962345669,0.7619047619047619,0.9444425925617279,1.333322222314814,0.3333305555787035,0.9999902958664028,0.5,3
MiniRocket,0,3,1.1942845621081095,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759251,0.8,0.944443055532407,0.9999916667361105,0.3333305555787035,0.99999167872575,0.5,3
Catch22,0,3,6.647390363264104,2.4444444444444446,0.4375,0.7777777777777778,0.9999916665277755,0.56,0.8888847221527767,2.9999750002083316,0.666661111157407,0.9999792088734586,0.5,3
QUANT,0,3,2.322210501628637,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759251,0.8,0.944443055532407,0.9999916667361105,0.3333305555787035,0.99999167872575,0.5,3
ResNet,0,3,1.7484077700457459,2.888888888888889,0.7,0.7777777777777778,0.9999972221759251,0.7368421052631579,0.8888874999768515,0.9999916667361105,0.666661111157407,0.9999875060295418,0.5,3
Ensemble-All,,3,0.004091177199916274,1.3333333333333333,0.8888888888888888,0.8888888888888888,0.9999990740586417,0.8888888888888888,0.9444439814737653,0.3333305555787035,0.3333305555787035,0.9999944444444443,,3
Ensemble-ts,,3,0.006629165000049397,1.3333333333333333,0.8,0.8888888888888888,0.9999981481172834,0.8421052631578947,0.9444435185030862,0.666661111157407,0.3333305555787035,0.9999930615850972,,3
DummyADL,0,3,0.04852333958618378,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,1.666604076223541,0.5,4
DummyFall,0,3,0.00045696513523520117,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333307,0.0,-0.29747496812557817,0.5,4
ExtraTrees,0,3,0.1333056043434881,6.0,0.7142857142857143,0.6666666666666666,0.9999977777407402,0.6896551724137931,0.8333322222037034,0.7999933333888885,0.9999916667361106,1.666640271748236,0.5,4
MiniRocket,0,3,1.1974921041476942,0.4046666666666667,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,0.5,4
Catch22,0,3,6.583747438116441,2.6046666666666667,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,0.5,4
QUANT,0,3,2.3831735801276634,1.738,0.7647058823529411,0.8666666666666667,0.9999977777407402,0.8125,0.9333322222037035,0.7999933333888885,0.3999966666944442,1.666652789836861,0.5,4
ResNet,0,3,1.463433229756655,1.2046666666666668,0.7058823529411765,0.8,0.9999972221759251,0.75,0.8999986110879625,0.9999916667361106,0.5999950000416664,1.6666472342813055,0.5,4
Ensemble-All,,3,0.006794669199916825,3.2046666666666668,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,,4
Ensemble-ts,,3,0.007693302333185177,0.538,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,,4
DummyADL,0,3,0.04915165568827117,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,4.088922468585571,0.5,5
DummyFall,0,3,0.0005059043368792829,0.0,2.5134725525400676e-05,1.0,0.0,5.026818757370403e-05,0.5,119995.9241345579,0.0,-0.730142263326381,0.5,5
ExtraTrees,0,3,0.1316558082067128,5.702702702702703,0.8064516129032258,0.6756756756756757,0.9999986413440368,0.7352941176470589,0.8378371585098563,0.4891038530514646,0.9782077061029292,4.089018483394257,0.5,5
MiniRocket,0,3,1.2008813078049252,3.831081081081081,0.8235294117647058,0.7567567567567568,0.9999986413440368,0.7887323943661971,0.8783776990503969,0.4891038530514646,0.7336557795771969,4.089031000956388,0.5,5
Catch22,0,3,6.711939471940238,1.6637837837837839,0.7619047619047619,0.8648648648648649,0.9999977355733947,0.810126582278481,0.9324313002191298,0.8151730884191076,0.4075865442095538,4.089042158899847,0.5,5
