model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,3,0.2006283752014487,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.999999242411616,0.9090909090909092,0.9545450757512626,0.2727250000189392,0.2727250000189392,0.0009999977272537,1,
QUANT,0.0,3,2.357866315103068,0.7727272727272727,0.8333333333333334,0.9090909090909092,0.999998484823232,0.8695652173913043,0.9545446969570706,0.5454500000378785,0.2727250000189392,0.000999996843408,1,
ExtraTrees,0.0,3,0.1685405458334784,4.559117647058823,0.8928571428571429,0.7352941176470589,0.9999992646936272,0.8064516129032258,0.8676466911703431,0.2647036764889704,0.7941110294669113,0.0009999950979983,2,
QUANT,0.0,3,2.3195092715049173,-0.3491176470588235,0.8461538461538461,0.9705882352941176,0.9999985293872544,0.9041095890410958,0.985293382340686,0.5294073529779408,0.0882345588296568,0.0009999978349492,2,
ExtraTrees,0.0,3,0.124128508193783,1.3333333333333333,0.6666666666666666,0.8888888888888888,0.9999962962345668,0.7619047619047619,0.944442592561728,1.333322222314814,0.3333305555787035,0.0009999939814313,3,
QUANT,0.0,3,2.141549004279244,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972221759252,0.8,0.944443055532407,0.9999916667361104,0.3333305555787035,0.0009999950616872,3,
ExtraTrees,0.0,3,0.1229442841496015,6.0,0.7142857142857143,0.6666666666666666,0.9999977777407402,0.6896551724137931,0.8333322222037034,0.7999933333888885,0.9999916667361106,0.0009999923147507,4,
QUANT,0.0,3,2.952683665117475,1.8046666666666664,0.7222222222222222,0.8666666666666667,0.9999972221759252,0.7878787878787878,0.933331944421296,0.9999916667361106,0.3999966666944442,0.0009999947221782,4,
ExtraTrees,0.0,3,0.1198856854279584,5.702702702702703,0.8064516129032258,0.6756756756756757,0.9999986413440368,0.7352941176470589,0.8378371585098563,0.4891038530514646,0.9782077061029292,0.0009999934332178,5,
QUANT,0.0,3,2.3784226864594022,3.373243243243244,0.8285714285714286,0.7837837837837838,0.9999986413440368,0.8055555555555556,0.8918912125639102,0.4891038530514646,0.6521384707352861,0.0009999950937834,5,
ExtraTrees,0.0,5,0.2701580588789967,-0.0454545454545454,0.9130434782608696,0.9545454545454546,0.9999992423989892,0.9333333333333332,0.977272348472222,0.2727250000189392,0.1363625000094696,0.0009999984216777,1,
QUANT,0.0,5,3.1852851382537035,0.7727272727272727,0.8,0.9090909090909092,0.9999981059974726,0.851063829787234,0.9545445075441908,0.6818125000473482,0.2727250000189392,0.0009999964014251,1,
ExtraTrees,0.0,5,0.1312969523447809,4.500294117647059,0.8928571428571429,0.7352941176470589,0.9999992646813716,0.8064516129032258,0.8676466911642153,0.2647036764889704,0.7941110294669113,0.0009999950979166,2,
QUANT,0.0,5,3.50190340341228,0.7294117647058823,0.8157894736842105,0.9117647058823528,0.999998284256534,0.8611111111111112,0.9558814950694434,0.6176419118075976,0.2647036764889704,0.000999996650243,2,
ExtraTrees,0.0,5,0.1374389974831581,-2.555555555555556,0.6153846153846154,0.8888888888888888,0.9999953702160442,0.7272727272727273,0.9444421295524664,1.6666527778935176,0.3333305555787035,0.000999992901057,3,
QUANT,0.0,5,2.933486802617958,1.3333333333333333,0.8,0.8888888888888888,0.9999981480864176,0.8421052631578947,0.9444435184876532,0.666661111157407,0.3333305555787035,0.0009999961418788,3,
ExtraTrees,0.0,5,0.1368421171292214,4.6,0.6470588235294118,0.7333333333333333,0.999996666555552,0.6875,0.8666649999444426,1.1999900000833328,0.7999933333888885,0.0009999920368379,4,
QUANT,0.0,5,3.0216808971134683,1.604666666666667,0.7647058823529411,0.8666666666666667,0.9999977777037012,0.8125,0.933332222185184,0.7999933333888885,0.3999966666944442,0.0009999953702546,4,
ExtraTrees,0.0,5,0.1335193601564549,5.054054054054054,0.7878787878787878,0.7027027027027027,0.9999984148748148,0.7428571428571429,0.8513505587887588,0.5706211618933754,0.8966903972610184,0.0009999935840708,5,
QUANT,0.0,5,3.062577989174785,3.5083783783783784,0.8529411764705882,0.7837837837837838,0.9999988677677248,0.8169014084507042,0.8918913257757544,0.4075865442095538,0.6521384707352861,0.0009999953578865,5,
