model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
DummyADL,0,3,0.0729631535345652,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.333155555555556,0.5,1
DummyFall,0,3,0.0028973034522955976,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333307,0.0,-0.23043540889962605,0.5,1
DummyADL,0,3,0.04394187258800766,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.333058585858586,0.5,2
DummyFall,0,3,0.00033360792289741217,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333305,0.0,-0.3561274501176039,0.5,2
DummyADL,0,3,0.04605700824131677,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9999272727272723,0.5,3
DummyFall,0,3,0.0003055264479060475,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333305,0.0,-0.09426903091348338,0.5,3
DummyADL,0,3,0.044296610765751754,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.999878787878788,0.5,4
DummyFall,0,3,0.0003257035558096695,0.0,2.5e-05,1.0,0.0,4.999875003124922e-05,0.5,119996.00003333307,0.0,-0.1571150515224723,0.5,4
DummyADL,0,3,0.044977891892797696,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.266931565656565,0.5,5
DummyFall,0,3,0.00037761282746173535,0.0,2.5134725525400676e-05,1.0,0.0,5.026818757370403e-05,0.5,119995.9241345579,0.0,-0.38555691509037693,0.5,5
DummyADL,0,5,0.09720632797989107,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.333033333333334,0.5,1
DummyFall,0,5,0.002991405758800554,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.14116662808772512,0.5,1
DummyADL,0,5,0.04511852859351867,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.332869696969697,0.5,2
DummyFall,0,5,0.0003375815327690227,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999974,0.0,-0.21816660704466612,0.5,2
DummyADL,0,5,0.047355054132709525,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9998772727272724,0.5,3
DummyFall,0,5,0.00030972081388163633,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.057749984217705726,0.5,3
DummyADL,0,5,0.04544922253584357,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.999795454545454,0.5,4
DummyFall,0,5,0.00033629984880063067,0.0,4.1666666666666665e-05,1.0,0.0,8.332986125578101e-05,0.5,71996.40002999976,0.0,-0.09624997369617622,0.5,4
DummyADL,0,5,0.04623183119465123,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.26672601010101,0.5,5
DummyFall,0,5,0.0003738101481976555,0.0,4.1891218694805486e-05,1.0,0.0,8.377892778822499e-05,0.5,71996.33172110212,0.0,-0.23619597112043736,0.5,5
DummyADL,0,7,0.12284676815097954,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.332911111111111,0.5,1
DummyFall,0,7,0.0028471817823241476,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.571453571225,0.0,-0.10223857242532085,0.5,1
DummyADL,0,7,0.04652466056911516,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.332680808080807,0.5,2
DummyFall,0,7,0.000367091429609659,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.57145357122,0.0,-0.15800506647549586,0.5,2
DummyADL,0,7,0.049239648992372764,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9998272727272726,0.5,3
DummyFall,0,7,0.00031391517985722515,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.57145357122,0.0,-0.04182487053763126,0.5,3
DummyADL,0,7,0.04719641879639068,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.999712121212121,0.5,4
DummyFall,0,7,0.0003328560535785683,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.571453571225,0.0,-0.06970811756271877,0.5,4
DummyADL,0,7,0.04825928462478213,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.266520454545454,0.5,5
DummyFall,0,7,0.00037287623745999276,0.0,5.864730777156081e-05,1.0,0.0,0.00011728773693311588,0.5,51425.43883484593,0.0,-0.17106265154972525,0.5,5
DummyADL,0,10,0.16463821657317454,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.3327277777777775,0.5,1
DummyFall,0,10,0.002998178957445344,0.0,8.333333333333333e-05,1.0,0.0,0.00016665277893508876,0.5,35996.70002749977,0.0,-0.07262920841422446,0.5,1
DummyADL,0,10,0.04861220820225357,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.332397474747475,0.5,2
DummyFall,0,10,0.00037018850789194364,0.0,8.333333333333333e-05,1.0,0.0,0.00016665277893508876,0.5,35996.70002749977,0.0,-0.11224514027652872,0.5,2
DummyADL,0,10,0.05135603776121327,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9997522727272727,0.5,3
DummyFall,0,10,0.00031104535050550654,0.0,8.333333333333333e-05,1.0,0.0,0.00016665277893508876,0.5,35996.70002749977,0.0,-0.029711948896728194,0.5,3
DummyADL,0,10,0.048668641253822344,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.999587121212121,0.5,4
DummyFall,0,10,0.0003275579070830877,0.0,8.333333333333333e-05,1.0,0.0,0.00016665277893508876,0.5,35996.70002749978,0.0,-0.04951991482788032,0.5,4
DummyADL,0,10,0.04997683172445923,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.26621212121212,0.5,5
DummyFall,0,10,0.00037627496573457506,0.0,8.378243738961097e-05,1.0,0.0,0.00016755083696171462,0.5,35996.657790337485,0.0,-0.12152139660319594,0.5,5
DummyADL,0,15,0.23040037623654416,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.332422222222222,0.5,1
DummyFall,0,15,0.0029309888268890224,0.0,0.000125,1.0,0.0,0.00024996875390576176,0.5,23996.800026666446,0.0,-0.049239185001251906,0.5,1
DummyADL,0,15,0.05140273417003128,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.331925252525252,0.5,2
DummyFall,0,15,0.0003845636259568874,0.0,0.000125,1.0,0.0,0.00024996875390576176,0.5,23996.800026666442,0.0,-0.07609692227466203,0.5,2
DummyADL,0,15,0.0542139462833171,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9996272727272726,0.5,3
DummyFall,0,15,0.0003271605460959266,0.0,0.000125,1.0,0.0,0.00024996875390576176,0.5,23996.800026666446,0.0,-0.020143302955057597,0.5,3
DummyADL,0,15,0.05150367944355401,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.999378787878787,0.5,4
DummyFall,0,15,0.00035153201997513737,0.0,0.000125,1.0,0.0,0.00024996875390576176,0.5,23996.800026666446,0.0,-0.033572171591762665,0.5,4
DummyADL,0,15,0.05315064501031512,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.265698232323231,0.5,5
DummyFall,0,15,0.00039181457440012733,0.0,0.00012567422523538442,1.0,0.0,0.00025131686641829314,0.5,23996.657790337482,0.0,-0.0823854126964446,0.5,5
DummyADL,0,30,0.4522380747463442,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.331505555555555,0.5,1
DummyFall,0,30,0.003041798356717795,0.0,0.00025,1.0,0.0,0.0004998750312421895,0.5,11996.900025833118,0.0,-0.025329201456940467,0.5,1
DummyADL,0,30,0.06261333945575155,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.330508585858585,0.5,2
DummyFall,0,30,0.00039087465340003345,0.0,0.00025,1.0,0.0,0.0004998750312421895,0.5,11996.900025833118,0.0,-0.03914512952436254,0.5,2
DummyADL,0,30,0.06540363168177213,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9992522727272726,0.5,3
DummyFall,0,30,0.00034504179051817363,0.0,0.00025,1.0,0.0,0.0004998750312421895,0.5,11996.900025833118,0.0,-0.010361946050566555,0.5,3
DummyADL,0,30,0.062242625028906005,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.998753787878788,0.5,4
DummyFall,0,30,0.0003426576245952074,0.0,0.00025,1.0,0.0,0.0004998750312421895,0.5,11996.90002583312,0.0,-0.01726991008427759,0.5,4
DummyADL,0,30,0.06476702549658993,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.264156565656565,0.5,5
DummyFall,0,30,0.00038979071246854515,0.0,0.00025134845047076885,1.0,0.0,0.0005025705806048505,0.5,11996.820824955166,0.0,-0.04237977668750119,0.5,5
DummyADL,0,60,1.0501925777131456,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,7.329672222222222,0.5,1
DummyFall,0,60,0.0029569076003697543,0.0,0.0005,1.0,0.0,0.0009995002498750624,0.5,5996.950025416455,0.0,-0.01301223320820709,0.5,1
DummyADL,0,60,0.08836297421361942,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,11.327675252525252,0.5,2
DummyFall,0,60,0.00039823751875037037,0.0,0.0005,1.0,0.0,0.0009995002498750624,0.5,5996.950025416454,0.0,-0.02010981495813823,0.5,2
DummyADL,0,60,0.09029057106377232,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.9985022727272725,0.5,3
DummyFall,0,60,0.00036071547390063705,0.0,0.0005,1.0,0.0,0.0009995002498750624,0.5,5996.950025416455,0.0,-0.005323186312448354,0.5,3
DummyADL,0,60,0.08638455671120004,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,4.997503787878788,0.5,4
DummyFall,0,60,0.0003760359475167351,0.0,0.0005,1.0,0.0,0.0009995002498750624,0.5,5996.950025416455,0.0,-0.008871977187413924,0.5,4
DummyADL,0,60,0.09105260222505185,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,12.26107323232323,0.5,5
DummyFall,0,60,0.00041538269356652924,0.0,0.0005027037308768783,1.0,0.0,0.0010049022936215865,0.5,5996.820824955165,0.0,-0.021770880661963116,0.5,5
