model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
LogisticCV,7,0.10567892362126138,0.8518515431944437,0.9,0.7037037037037037,0.9999993826851836,0.7898383371824482,0.22222037039214618,0.8888814815432093,5.2225925925925925,0.0009999947528677893,11,FARSEEING,tabular
RandomForest,7,0.14676534469841357,0.8518513888657395,0.86,0.7037037037037037,0.9999990740277754,0.7740407389862625,0.3333305555882192,0.8888814815432093,5.2225925925925925,0.0009999943927704808,11,FARSEEING,tabular
ExtraTrees,7,0.6128069739661547,0.8518515431944437,0.9,0.7037037037037037,0.9999993826851836,0.7898383371824482,0.22222037039214618,0.8888814815432093,5.2225925925925925,0.0009999947528677893,11,FARSEEING,tabular
Tab Ensemble,7,0.000855709771595655,0.8518515431944437,0.9,0.7037037037037037,0.9999993826851836,0.7898383371824482,0.22222037039214618,0.8888814815432093,5.2225925925925925,0.0009999947528677893,11,FARSEEING,tabular
LogisticCV,7,0.115898690188352,0.874999553549106,0.88,0.75,0.999999107098212,0.8098159509202455,0.3214258928815033,0.7499937500520829,4.25,0.0009999951386863342,12,FARSEEING,tabular
RandomForest,7,0.16011482850315212,0.9464275297098188,0.78,0.8928571428571429,0.9999979165624948,0.8326216908625107,0.7499937500435191,0.32142589287946394,1.0714285714285714,0.000999995932370198,12,FARSEEING,tabular
ExtraTrees,7,0.6951810602333114,0.9107135416294624,0.82,0.8214285714285714,0.9999985118303534,0.8207136640557005,0.535709821482494,0.5357098214657736,2.642857142857143,0.000999995535528266,12,FARSEEING,tabular
Tab Ensemble,7,0.0018147729369329996,0.910713690446427,0.85,0.8214285714285714,0.9999988094642828,0.8354700854700855,0.42856785716201584,0.5357098214657736,2.75,0.0009999958827649567,12,FARSEEING,tabular
LogisticCV,7,0.13233277894160692,0.79411642150735,0.67,0.5882352941176471,0.9999975488970527,0.6264609630668537,0.882345588286493,1.2352838236151953,7.470588235294118,0.0009999908492919231,13,FARSEEING,tabular
RandomForest,7,0.17103001241804242,0.7941156861764658,0.56,0.5882352941176471,0.9999960782352844,0.5737704918032787,1.411752941258389,1.2352838236151953,7.647058823529412,0.0009999891335341587,13,FARSEEING,tabular
ExtraTrees,7,0.5524273725325277,0.7941166666176447,0.71,0.5882352941176471,0.9999980391176422,0.6434073402809243,0.7058764706291945,1.2352838236151953,7.647058823529412,0.000999991421211178,13,FARSEEING,tabular
Tab Ensemble,7,0.0008707657072912244,0.8235284313235269,0.73,0.6470588235294118,0.9999980391176422,0.6860316104228963,0.7058764706291945,1.0588147059558815,6.352941176470588,0.0009999923199414354,13,FARSEEING,tabular
LogisticCV,7,0.13097636253919168,0.9999994047321414,0.88,1.0,0.9999988094642828,0.9361702127659575,0.42856785716201584,0.0,-1.2857142857142858,0.0009999986110532384,14,FARSEEING,tabular
RandomForest,7,0.1327152583702292,0.9285708333035699,0.86,0.8571428571428571,0.9999988094642828,0.8585690515806988,0.42856785716201584,0.42856785717261897,2.0,0.0009999964284226129,14,FARSEEING,tabular
ExtraTrees,7,0.9202672951912051,0.9999994047321414,0.88,1.0,0.9999988094642828,0.9361702127659575,0.42856785716201584,0.0,-1.0,0.0009999986110532384,14,FARSEEING,tabular
Tab Ensemble,7,0.0010938472631904813,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.001,14,FARSEEING,tabular
LogisticCV,7,0.12261020336615826,0.9230764391816044,0.88,0.8461538461538461,0.9999990322093628,0.8627450980392156,0.34838417483482986,0.4645122331232061,2.230769230769231,0.0009999965052297892,15,FARSEEING,tabular
RandomForest,7,0.17071314629666492,0.9999995161046814,0.9,1.0,0.9999990322093628,0.9473684210526316,0.34838417483482986,0.0,-1.0769230769230769,0.0009999988709203935,15,FARSEEING,tabular
ExtraTrees,7,0.5435342870140466,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.001,15,FARSEEING,tabular
Tab Ensemble,7,0.0011041293708750834,0.98,1.0,0.96,1.0,0.9795918367346939,0.0,0.11999900000833337,-0.12,0.0009999993888634249,15,FARSEEING,tabular
LogisticCV,7,0.11903885007021679,0.870369753055554,0.83,0.7407407407407407,0.9999987653703672,0.7828342372082056,0.44444074078429235,0.7777712963503083,4.444444444444445,0.0009999945985403713,21,FARSEEING,tabular
RandomForest,7,0.1610807068716424,0.9259253086111096,0.85,0.8518518518518519,0.9999987653703672,0.850924918389554,0.44444074078429235,0.44444074077160467,1.962962962962963,0.000999996296141969,21,FARSEEING,tabular
ExtraTrees,7,0.6793841161033626,0.9259254629398137,0.88,0.8518518518518519,0.9999990740277754,0.8656971770744225,0.3333305555882192,0.44444074077160467,2.0,0.0009999966562392775,21,FARSEEING,tabular
Tab Ensemble,7,0.001501109284747924,0.9074072530787033,0.96,0.8148148148148148,0.9999996913425918,0.8814691151919866,0.11111018519607309,0.555550925964506,2.888888888888889,0.0009999968105666955,21,FARSEEING,tabular
LogisticCV,7,0.1286375914647448,0.8823526936392188,0.93,0.7647058823529411,0.9999995049254963,0.8392919125303714,0.17821632192877654,0.7128652877673803,4.882352941176471,0.0009999957919021344,22,FARSEEING,tabular
RandomForest,7,0.1702790997954227,0.8823521985647149,0.81,0.7647058823529411,0.9999985147764887,0.7867015315651849,0.5346489658262953,0.7128652877673803,3.9411764705882355,0.0009999946367380147,22,FARSEEING,tabular
ExtraTrees,7,0.7700284128758619,0.8823524461019667,0.87,0.7647058823529411,0.9999990098509924,0.8139618567830155,0.3564326438975188,0.7128652877673803,3.9411764705882355,0.0009999952143200745,22,FARSEEING,tabular
Tab Ensemble,7,0.0012166199329144815,0.9374994791406237,0.88,0.875,0.9999989582812474,0.8774928774928775,0.3749968750217596,0.37499687502604145,2.0,0.0009999968748697862,22,FARSEEING,tabular
LogisticCV,7,0.11895438347601495,0.8749991307549672,0.78,0.75,0.9999982615099342,0.7647058823529411,0.625819867503547,0.7509838409833438,4.375,0.000999994147132286,23,FARSEEING,tabular
RandomForest,7,0.161238606683517,0.9166663189686535,0.91,0.8333333333333334,0.9999993046039737,0.869980879541109,0.25032794700141886,0.5006558939888958,0.2916666666666667,0.0009999966389472534,23,FARSEEING,tabular
ExtraTrees,7,0.4577727163457427,0.8749994784529802,0.86,0.75,0.9999989569059605,0.8012422360248448,0.3754919205021282,0.7509838409833438,2.0416666666666665,0.0009999949584208801,23,FARSEEING,tabular
Tab Ensemble,7,0.0009801864810287952,0.8913038043206508,0.86,0.782608695652174,0.9999989129891277,0.8194812069878243,0.3913010869948661,0.6521684783061589,3.5652173913043477,0.0009999954104367875,23,FARSEEING,tabular
LogisticCV,7,0.11000506507302785,0.8387091397580632,0.84,0.6774193548387096,0.9999989246774167,0.75,0.3870935484056906,0.9677338710349458,5.774516129032258,0.000999993816946674,24,FARSEEING,tabular
RandomForest,7,0.15318382925936844,0.8709669354435463,0.79,0.7419354838709677,0.999998387016125,0.7652137292061487,0.5806403226285188,0.7741870968279565,4.348387096774194,0.000999994175384548,24,FARSEEING,tabular
ExtraTrees,7,0.6072474696275831,0.8387090053427402,0.81,0.6774193548387096,0.9999986558467708,0.7378009108653221,0.4838669355171047,0.9677338710349458,5.774516129032258,0.000999993503313534,24,FARSEEING,tabular
Tab Ensemble,7,0.0009047945221776471,0.8225801074999987,0.83,0.6451612903225806,0.9999989246774167,0.726000437349661,0.3870935484056906,1.0645072581384403,6.451935483870967,0.0009999933240945973,24,FARSEEING,tabular
LogisticCV,7,0.11723550922511078,0.9687489582812474,0.79,0.9375,0.9999979165624948,0.857452966714906,0.7499937500435192,0.18749843751302073,0.3125,0.0009999966144422685,25,FARSEEING,tabular
RandomForest,7,0.15046151043489342,0.9374976561328067,0.61,0.875,0.9999953122656133,0.7188552188552189,1.687485937597918,0.37499687502604145,1.6875,0.0009999926212203285,25,FARSEEING,tabular
ExtraTrees,7,0.8221373437410053,0.8437489582812474,0.73,0.6875,0.9999979165624948,0.7081128747795414,0.7499937500435192,0.9374921875651037,5.5625,0.0009999927948386737,25,FARSEEING,tabular
Tab Ensemble,7,0.0012080200378679568,0.9687489582812474,0.79,0.9375,0.9999979165624948,0.857452966714906,0.7499937500435192,0.18749843751302073,0.375,0.0009999966144422685,25,FARSEEING,tabular
LogisticCV,7,0.12388617225670684,0.9999997999899195,0.95,1.0,0.999999599979839,0.9743589743589743,0.14399879040273794,0.0,-1.0476190476190477,0.0009999995333137325,31,FARSEEING,tabular
RandomForest,7,0.1710812802701352,0.999999599979839,0.91,1.0,0.999999199959678,0.9528795811518325,0.2879975808054759,0.0,-1.0952380952380953,0.000999999066627465,31,FARSEEING,tabular
ExtraTrees,7,0.5013151187079753,0.9523807523708718,0.95,0.9047619047619048,0.999999599979839,0.9268292682926829,0.14399879040273794,0.2879975808203211,1.0,0.0009999980665854635,31,FARSEEING,tabular
Tab Ensemble,7,0.0009703171395120167,0.9999997916562495,0.95,1.0,0.9999995833124989,0.9743589743589743,0.14999875001669696,0.0,-1.0,0.0009999995138686335,31,FARSEEING,tabular
LogisticCV,7,0.09705826707791208,0.8124994791406237,0.83,0.625,0.9999989582812474,0.7130584192439862,0.3749968750217596,1.1249906250781243,7.5628125,0.0009999930552661916,32,FARSEEING,tabular
RandomForest,7,0.14499503741012928,0.8593743489257797,0.82,0.71875,0.9999986978515593,0.7660438667749797,0.46874609377719945,0.8437429688085932,4.8440625,0.0009999941837854354,32,FARSEEING,tabular
ExtraTrees,7,0.5848050248809742,0.8281247395703119,0.91,0.65625,0.9999994791406237,0.7625698324022345,0.1874984375108798,1.031241406321614,6.2190625,0.0009999941403808492,32,FARSEEING,tabular
Tab Ensemble,7,0.0010575118373978782,0.8593746093554677,0.88,0.71875,0.9999992187109356,0.7912431587177482,0.2812476562663197,0.8437429688085932,5.0940625,0.0009999947914496438,32,FARSEEING,tabular
LogisticCV,7,0.11892444665015003,0.8846136195585674,0.65,0.7692307692307693,0.9999964698863656,0.7046070460704607,1.2707666862921063,0.6931454652401989,2.5,0.0009999923514842773,33,FARSEEING,tabular
RandomForest,7,0.15761791074227052,0.8846136195585674,0.65,0.7692307692307693,0.9999964698863656,0.7046070460704607,1.2707666862921063,0.6931454652401989,1.5769230769230769,0.0009999923514842773,33,FARSEEING,tabular
ExtraTrees,7,0.6623976484379634,0.8653831712472195,0.68,0.7307692307692307,0.9999971117252082,0.7044711014176663,1.0397181978717263,0.8086697094468989,2.5,0.0009999925119426492,33,FARSEEING,tabular
Tab Ensemble,7,0.00105393978042735,0.8799988332749971,0.73,0.76,0.9999976665499941,0.7446979865771811,0.8399930000775168,0.7199940000499996,4.0,0.0009999936108448964,33,FARSEEING,tabular
LogisticCV,7,0.10879197457112051,0.9545443181249971,0.77,0.9090909090909091,0.9999977271590852,0.8337845154304276,0.8181750000692749,0.27272500001893935,0.8181818181818182,0.0009999959594276025,34,FARSEEING,tabular
RandomForest,7,0.156708577043325,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,0.9090909090909091,0.0009999977271780264,34,FARSEEING,tabular
ExtraTrees,7,0.4477140747528581,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,0.9090909090909091,0.0009999977271780264,34,FARSEEING,tabular
Tab Ensemble,7,0.0012130472265804808,0.9545450757386353,0.91,0.9090909090909091,0.9999992423863617,0.9095452273863068,0.27272500002309163,0.27272500001893935,0.9090909090909091,0.0009999977271780264,34,FARSEEING,tabular
LogisticCV,7,0.12483774236683946,0.8958322916145807,0.76,0.7916666666666666,0.9999979165624948,0.7755102040816326,0.7499937500435191,0.6249947917100691,3.3333333333333335,0.0009999943863401716,35,FARSEEING,tabular
RandomForest,7,0.16933944107208976,0.937498263802079,0.68,0.875,0.999996527604158,0.7652733118971061,1.2499895834058652,0.37499687502604145,1.5833333333333333,0.0009999940391034812,35,FARSEEING,tabular
ExtraTrees,7,0.7489883737731007,0.9374987846614553,0.75,0.875,0.9999975693229106,0.8076923076923077,0.8749927083841056,0.37499687502604145,1.625,0.0009999952544318977,35,FARSEEING,tabular
Tab Ensemble,7,0.0012063805867607396,0.9166657985677062,0.8,0.8333333333333334,0.999998263802079,0.816326530612245,0.6249947917029326,0.49999583336805514,2.4583333333333335,0.0009999954280502427,35,FARSEEING,tabular
Rocket,7,6.560260246962937,0.9090902777462107,0.84,0.8181818181818182,0.999998737310603,0.8289473684210527,0.4545416666785089,0.5454500000378784,0.9993939393939395,0.0009999957489811233,11,FARSEEING,ts
Catch22,7,15.73299834004136,0.9242414140909065,0.78,0.8484848484848485,0.9999979796969647,0.8128023818384816,0.7272666667016006,0.454541666698232,2.3327272727272725,0.0009999953280881652,11,FARSEEING,ts
QUANT,7,3.8651519010246442,0.9545448232007561,0.86,0.9090909090909091,0.999998737310603,0.8838643371017472,0.4545416666785089,0.27272500001893935,0.7457575757575757,0.000999997137927885,11,FARSEEING,ts
TS Ensemble,7,0.0008340451038546032,0.9090905302840899,0.9,0.8181818181818182,0.9999992423863617,0.8571428571428572,0.27272500002309163,0.5454500000378784,2.7627272727272723,0.0009999963382312648,11,FARSEEING,ts
Rocket,7,6.909328405730823,0.8999993324550668,0.83,0.8,0.9999986649101335,0.8147239263803682,0.4806042797746543,0.6007553497263892,-0.04,0.0009999953828527385,12,FARSEEING,ts
Catch22,7,16.58906437904877,0.9199998331137667,0.95,0.84,0.9999996662275333,0.8916201117318435,0.12015106995365497,0.48060427978111153,0.21719999999999998,0.0009999971629577067,12,FARSEEING,ts
QUANT,7,4.0629699965485235,0.9199999999999999,1.0,0.84,1.0,0.9130434782608696,0.0,0.48060427978111153,0.24,0.0009999975523556684,12,FARSEEING,ts
