model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,fold,Dataset,model_type
LogisticCV,40,0.10299596787214273,0.5229885057471264,0.12,0.06060606060606061,0.9853709508881923,0.08053691275167785,1.27271666675505,2.818158333529039,0,FARSEEING,tabular
RandomForest,40,0.1465824945538377,0.5527690700104493,0.21,0.12121212121212122,0.9843260188087775,0.15370539798719124,1.3636250000946937,2.636341666849746,0,FARSEEING,tabular
ExtraTrees,40,0.32621350240985947,0.5825496342737722,0.27,0.18181818181818182,0.9832810867293625,0.21730382293762576,1.454533333434347,2.454525000170453,0,FARSEEING,tabular
Ensemble,40,0.32621350240985947,0.5517241379310345,0.19,0.12121212121212122,0.9822361546499477,0.1480038948393379,1.5454416667739908,2.636341666849746,0,FARSEEING,tabular
LogisticCV,40,0.10917294441756117,0.5096230954290296,0.17,0.023255813953488372,0.9959903769045709,0.040914560770156434,0.3488343023498096,2.9302081397383706,1,FARSEEING,tabular
RandomForest,40,0.16223454383811126,0.5320769847634322,0.3,0.06976744186046512,0.9943865276663993,0.11320754716981132,0.48836802328972956,2.790674418798448,1,FARSEEING,tabular
ExtraTrees,40,0.35108432659626926,0.5096230954290296,0.17,0.023255813953488372,0.9959903769045709,0.040914560770156434,0.3488343023498096,2.9302081397383706,1,FARSEEING,tabular
Ensemble,40,0.35108432659626926,0.5100240577385725,0.2,0.023255813953488372,0.9967923015236567,0.041666666666666664,0.2790674418798496,2.9302081397383706,1,FARSEEING,tabular
LogisticCV,40,0.10315093865713554,0.5,0.0,0.0,1.0,0.0,0.0,2.9999750002083316,2,FARSEEING,tabular
RandomForest,40,0.14267444924510883,0.5,0.0,0.0,1.0,0.0,0.0,2.9999750002083316,2,FARSEEING,tabular
ExtraTrees,40,0.34462323694503066,0.5,0.0,0.0,1.0,0.0,0.0,2.9999750002083316,2,FARSEEING,tabular
Ensemble,40,0.34462323694503066,0.5,0.0,0.0,1.0,0.0,0.0,2.9999750002083316,2,FARSEEING,tabular
LogisticCV,40,0.10300788870175756,0.496551724137931,0.0,0.0,0.993103448275862,0.0,0.5999950000416676,2.9999750002083316,3,FARSEEING,tabular
RandomForest,40,0.1555270903748328,0.49885057471264366,0.0,0.0,0.9977011494252873,0.0,0.19999833334722578,2.9999750002083316,3,FARSEEING,tabular
ExtraTrees,40,0.3296844506327112,0.5,0.0,0.0,1.0,0.0,0.0,2.9999750002083316,3,FARSEEING,tabular
Ensemble,40,0.3296844506327112,0.5310344827586208,0.33,0.06666666666666667,0.9954022988505747,0.11092436974789917,0.39999666669444184,2.79997666686111,3,FARSEEING,tabular
LogisticCV,40,0.10725567765450914,0.5307881773399015,0.2,0.07142857142857142,0.9901477832512315,0.10526315789473682,0.8571357143452365,2.785691071622022,4,FARSEEING,tabular
RandomForest,40,0.13167351031555533,0.5141625615763546,0.14,0.03571428571428571,0.9926108374384236,0.05691056910569106,0.6428517857589322,2.892833035915177,4,FARSEEING,tabular
ExtraTrees,40,0.3351124017173311,0.5326354679802956,0.29,0.07142857142857142,0.9938423645320197,0.11462450592885375,0.5357098214657752,2.785691071622022,4,FARSEEING,tabular
Ensemble,40,0.3351124017173311,0.5314039408866995,0.22,0.07142857142857142,0.9913793103448276,0.10784313725490194,0.7499937500520796,2.785691071622022,4,FARSEEING,tabular
Rocket,40,9.367920375057258,0.6781609195402298,0.63,0.36363636363636365,0.9926854754440961,0.46111619396157366,0.636358333377525,1.9090750001325747,0,FARSEEING,ts
Catch22,40,11.133713129803509,0.8202716823406478,0.47,0.6666666666666666,0.9738766980146291,0.5513196480938416,2.2727083334911593,0.9999916667361107,0,FARSEEING,ts
