model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
LogisticCV,7,0.11062331202069899,0.8484840908712102,0.79,0.696969696969697,0.9999984847727235,0.7405746892194824,0.5454500000461833,0.909083333396464,5.818181818181818,0.000999993602427037,0,FARSEEING,tabular
RandomForest,7,0.16317628937768291,0.9545438130492383,0.7,0.9090909090909091,0.9999967170075675,0.7909604519774012,1.1818083334200753,0.27272500001893935,0.8787878787878788,0.00099999478092732,0,FARSEEING,tabular
ExtraTrees,7,0.6472613119866254,0.8787868686363611,0.76,0.7575757575757576,0.9999979796969647,0.7587859424920128,0.7272666667016006,0.7272666667171713,4.0,0.0009999939391414036,0,FARSEEING,tabular
Ensemble,7,0.6472613119866254,0.8939387625946954,0.84,0.7878787878787878,0.999998737310603,0.8131049888309754,0.4545416666785089,0.636358333377525,3.6363636363636362,0.0009999952859988694,0,FARSEEING,tabular
LogisticCV,7,0.114662486455191,0.7558137596802321,0.92,0.5116279069767442,0.9999996123837199,0.6575698505523068,0.13953372095227068,1.4651040698691853,9.256046511627908,0.0009999920862335673,1,FARSEEING,tabular
RandomForest,7,0.16643266266746767,0.9069761627616264,0.85,0.813953488372093,0.9999988371511599,0.8315863032844165,0.4186011628168463,0.5581348837596896,2.8606976744186046,0.0009999958008586275,1,FARSEEING,tabular
ExtraTrees,7,0.6503746353210321,0.872092635639534,0.89,0.7441860465116279,0.99999922476744,0.8105877330297423,0.27906744186457566,0.7674354651695732,4.372325581395349,0.0009999951871379653,1,FARSEEING,tabular
Ensemble,7,0.6503746353210321,0.8488369185901156,0.91,0.6976744186046512,0.99999941857558,0.7898162881527557,0.20930058140842314,0.9069691861094956,5.34906976744186,0.0009999947026216533,1,FARSEEING,tabular
LogisticCV,7,0.11525654113099676,0.8823526935043409,0.93,0.7647058823529411,0.9999995046557407,0.8392919125303714,0.17831342248262716,0.7132536899733869,3.9411764705882355,0.0009999957896092509,2,FARSEEING,tabular
RandomForest,7,0.19214986575653048,0.8823521981600816,0.81,0.7647058823529411,0.9999985139672221,0.7867015315651849,0.5349402674878472,0.7132536899733869,3.9411764705882355,0.000999994633815712,2,FARSEEING,tabular
ExtraTrees,7,0.6317145633639495,0.8823521981600816,0.81,0.7647058823529411,0.9999985139672221,0.7867015315651849,0.5349402674878472,0.7132536899733869,3.9411764705882355,0.000999994633815712,2,FARSEEING,tabular
Ensemble,7,0.6317145633639495,0.8999997222083327,0.92,0.8,0.9999994444166653,0.8558139534883721,0.17831342247705767,0.5349402674800399,3.2,0.0009999962961419688,2,FARSEEING,tabular
LogisticCV,7,0.11376643742914284,0.8125,1.0,0.625,1.0,0.7692307692307693,0.0,1.1319562247373312,6.8725000000000005,0.0009999942351180883,3,FARSEEING,tabular
RandomForest,7,0.15310716196302204,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,5.5600000000000005,0.0009999945845048709,3,FARSEEING,tabular
ExtraTrees,7,0.5398168878632148,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,5.5600000000000005,0.0009999945845048709,3,FARSEEING,tabular
Ensemble,7,0.5398168878632148,0.833333055541666,0.91,0.6666666666666666,0.9999994444166653,0.7695560253699789,0.18865937077232106,0.9432968539477762,5.997333333333334,0.0009999942590200516,3,FARSEEING,tabular
LogisticCV,7,0.10892459380058551,0.8965514364533347,0.92,0.7931034482758621,0.9999994246308072,0.851851851851852,0.20712081357448786,0.621362440711667,3.7586206896551726,0.0009999961642373823,4,FARSEEING,tabular
