model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,fold,Dataset,model_type
LogisticCV,7,0.18138138300446618,0.8479500891265597,0.79,0.696969696969697,0.9989304812834224,0.7405746892194824,0.545450000037892,0.909083333396464,0,FARSEEING,tabular
RandomForest,7,0.21896974558496518,0.9533868092691622,0.7,0.9090909090909091,0.9976827094474153,0.7909604519774012,1.1818083334154044,0.27272500001893935,0,FARSEEING,tabular
ExtraTrees,7,0.4612566338965404,0.8629233511586453,0.75,0.7272727272727273,0.9985739750445632,0.7384615384615384,0.7272666667171894,0.8181750000568178,0,FARSEEING,tabular
Ensemble,7,0.4612566338965404,0.89349376114082,0.84,0.7878787878787878,0.9991087344028521,0.8131049888309754,0.45454166669821505,0.636358333377525,0,FARSEEING,tabular
LogisticCV,7,0.37040799140191083,0.7556771545827634,0.92,0.5116279069767442,0.9997264021887825,0.6575698505523068,0.1395337209399153,1.4651040698691853,1,FARSEEING,tabular
RandomForest,7,0.23170913883334826,0.9065663474692203,0.85,0.813953488372093,0.9991792065663475,0.8315863032844165,0.41860116281974596,0.5581348837596896,1,FARSEEING,tabular
ExtraTrees,7,1.1761567331177187,0.8718194254445965,0.89,0.7441860465116279,0.999452804377565,0.8105877330297423,0.2790674418798306,0.7674354651695732,1,FARSEEING,tabular
Ensemble,7,1.1761567331177187,0.8602599179206566,0.91,0.7209302325581395,0.9995896032831737,0.804505917581634,0.2093005814099013,0.8372023256395346,1,FARSEEING,tabular
LogisticCV,7,0.3080699997360862,0.8998039215686275,0.92,0.8,0.9996078431372549,0.8558139534883721,0.1999983333472101,0.5999950000416662,2,FARSEEING,tabular
RandomForest,7,0.3229889179990476,0.8998039215686275,0.92,0.8,0.9996078431372549,0.8558139534883721,0.1999983333472101,0.5999950000416662,2,FARSEEING,tabular
ExtraTrees,7,0.7202525517182377,0.8664705882352941,0.92,0.7333333333333333,0.9996078431372549,0.8161290322580644,0.1999983333472101,0.7999933333888887,2,FARSEEING,tabular
Ensemble,7,0.7202525517182377,0.8998039215686275,0.92,0.8,0.9996078431372549,0.8558139534883721,0.1999983333472101,0.5999950000416662,2,FARSEEING,tabular
LogisticCV,7,0.2254069935769741,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.0,0.9999916667361108,3,FARSEEING,tabular
RandomForest,7,0.2036494927249711,0.8664705882352941,0.92,0.7333333333333333,0.9996078431372549,0.8161290322580644,0.1999983333472101,0.7999933333888887,3,FARSEEING,tabular
ExtraTrees,7,2.7562507777339973,0.8664705882352941,0.92,0.7333333333333333,0.9996078431372549,0.8161290322580644,0.1999983333472101,0.7999933333888887,3,FARSEEING,tabular
Ensemble,7,2.7562507777339973,0.8331372549019608,0.91,0.6666666666666666,0.9996078431372549,0.7695560253699789,0.1999983333472101,0.9999916667361108,3,FARSEEING,tabular
LogisticCV,7,0.18430794667490727,0.8926470588235293,0.92,0.7857142857142857,0.9995798319327731,0.847571189279732,0.21428392858630863,0.6428517857589282,4,FARSEEING,tabular
RandomForest,7,0.18278208048420885,0.8925420168067226,0.88,0.7857142857142857,0.9993697478991597,0.830188679245283,0.32142589287946294,0.6428517857589282,4,FARSEEING,tabular
ExtraTrees,7,0.5506747768373903,0.8033613445378152,0.89,0.6071428571428571,0.9995798319327731,0.7218511450381679,0.21428392858630863,1.1785616072247018,4,FARSEEING,tabular
Ensemble,7,0.5506747768373903,0.8747899159663866,0.91,0.75,0.9995798319327731,0.8222891566265059,0.21428392858630863,0.7499937500520829,4,FARSEEING,tabular
Rocket,7,10.450395281841889,0.8475935828877006,0.7,0.696969696969697,0.9982174688057041,0.6984815618221257,0.9090833333964866,0.909083333396464,0,FARSEEING,ts
Catch22,7,22.498839364504928,0.8469696969696969,0.57,0.696969696969697,0.996969696969697,0.6271226979191581,1.5454416667739992,0.909083333396464,0,FARSEEING,ts
QUANT,7,11.097072473177388,0.9392156862745098,0.94,0.8787878787878788,0.9996434937611408,0.9083638787070976,0.18181666667929736,0.36363333335858566,0,FARSEEING,ts
Ensemble,7,11.097072473177388,0.8783422459893049,0.83,0.7575757575757576,0.9991087344028521,0.7921359037984349,0.45454166669821505,0.7272666667171713,0,FARSEEING,ts
Rocket,7,11.84693437885393,0.8830369357045144,0.77,0.7674418604651163,0.9986320109439124,0.7687188019966723,0.6976686046996332,0.6976686046996119,1,FARSEEING,ts
Catch22,7,22.946865864333944,0.871751025991792,0.86,0.7441860465116279,0.9993160054719562,0.7979124383879386,0.3488343023498166,0.7674354651695732,1,FARSEEING,ts
QUANT,7,5.011099541038574,0.9532147742818058,0.91,0.9069767441860465,0.999452804377565,0.908485856905158,0.2790674418798306,0.279067441879845,1,FARSEEING,ts
Ensemble,7,5.011099541038574,0.8952120383036936,0.94,0.7906976744186046,0.9997264021887825,0.85890889545821,0.1395337209399153,0.627901744229651,1,FARSEEING,ts
Rocket,7,11.830670393649429,0.9664705882352942,0.93,0.9333333333333333,0.9996078431372549,0.9316636851520573,0.1999983333472101,0.19999833334722208,2,FARSEEING,ts
Catch22,7,22.3655247533124,0.7666666666666666,1.0,0.5333333333333333,1.0,0.6956521739130436,0.0,1.399988333430555,2,FARSEEING,ts
QUANT,7,5.558404696704839,0.9331372549019608,0.93,0.8666666666666667,0.9996078431372549,0.89721706864564,0.1999983333472101,0.39999666669444417,2,FARSEEING,ts
Ensemble,7,5.558404696704839,0.9331372549019608,0.93,0.8666666666666667,0.9996078431372549,0.89721706864564,0.1999983333472101,0.39999666669444417,2,FARSEEING,ts
Rocket,7,9.799895477809901,0.8662745098039215,0.85,0.7333333333333333,0.9992156862745099,0.7873684210526316,0.3999966666944202,0.7999933333888887,3,FARSEEING,ts
Catch22,7,22.94751554954795,0.8660784313725489,0.79,0.7333333333333333,0.9988235294117647,0.7606126914660831,0.5999950000416869,0.7999933333888887,3,FARSEEING,ts
QUANT,7,4.155235631622015,0.8662745098039215,0.85,0.7333333333333333,0.9992156862745099,0.7873684210526316,0.3999966666944202,0.7999933333888887,3,FARSEEING,ts
Ensemble,7,4.155235631622015,0.8664705882352941,0.92,0.7333333333333333,0.9996078431372549,0.8161290322580644,0.1999983333472101,0.7999933333888887,3,FARSEEING,ts
Rocket,7,11.649440007820084,0.9271008403361345,0.63,0.8571428571428571,0.9970588235294118,0.7262247838616714,1.4999875001041605,0.42856785717261897,4,FARSEEING,ts
Catch22,7,28.84320223896002,0.838655462184874,0.76,0.6785714285714286,0.9987394957983193,0.7169811320754718,0.6428517857589259,0.9642776786383923,4,FARSEEING,ts
QUANT,7,13.334097609402857,0.8924369747899159,0.85,0.7857142857142857,0.9991596638655462,0.8165938864628821,0.42856785717261725,0.6428517857589282,4,FARSEEING,ts
Ensemble,7,13.334097609402857,0.9279411764705883,0.8,0.8571428571428571,0.9987394957983193,0.8275862068965518,0.6428517857589259,0.42856785717261897,4,FARSEEING,ts
