model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
LogisticCV,7,0.1097511046538805,0.8484840908712102,0.79,0.696969696969697,0.9999984847727235,0.7405746892194824,0.5454500000461833,0.909083333396464,0.0009999994107498587,0,FARSEEING,tabular
RandomForest,7,0.1635498087056143,0.9545438130492383,0.7,0.9090909090909091,0.9999967170075675,0.7909604519774012,1.1818083334200753,0.27272500001893935,0.0010000023570005652,0,FARSEEING,tabular
ExtraTrees,7,0.45175771949845567,0.863635353484846,0.75,0.7272727272727273,0.9999979796969647,0.7384615384615384,0.7272666667016006,0.8181750000568178,0.0009999995370177461,0,FARSEEING,tabular
Ensemble,7,0.45175771949845567,0.8939387625946954,0.84,0.7878787878787878,0.999998737310603,0.8131049888309754,0.4545416666785089,0.636358333377525,0.0010000018519290155,0,FARSEEING,tabular
LogisticCV,7,0.11521680503228066,0.7558137596802321,0.92,0.5116279069767442,0.9999996123837199,0.6575698505523068,0.13953372095227068,1.4651040698691853,0.0009999963499771147,1,FARSEEING,tabular
RandomForest,7,0.1665081612550283,0.9069761627616264,0.85,0.813953488372093,0.9999988371511599,0.8315863032844165,0.4186011628168463,0.5581348837596896,0.0010000025840869984,1,FARSEEING,tabular
ExtraTrees,7,3.272748536065666,0.872092635639534,0.89,0.7441860465116279,0.99999922476744,0.8105877330297423,0.27906744186457566,0.7674354651695732,0.0010000013889467614,1,FARSEEING,tabular
Ensemble,7,3.272748536065666,0.8488369185901156,0.91,0.6976744186046512,0.99999941857558,0.7898162881527557,0.20930058140842314,0.9069691861094956,0.0010000005168173997,1,FARSEEING,tabular
LogisticCV,7,0.11493865234126792,0.8823526935043409,0.93,0.7647058823529411,0.9999995046557407,0.8392919125303714,0.17831342248262716,0.7132536899733869,0.0010000022290303965,2,FARSEEING,tabular
RandomForest,7,0.16253653818835365,0.8823521981600816,0.81,0.7647058823529411,0.9999985139672221,0.7867015315651849,0.5349402674878472,0.7132536899733869,0.0010000010732368577,2,FARSEEING,tabular
ExtraTrees,7,0.5240456302827929,0.8823524458322112,0.87,0.7647058823529411,0.9999990093114813,0.8139618567830155,0.35662684500521996,0.7132536899733869,0.0010000016511336272,2,FARSEEING,tabular
Ensemble,7,0.5240456302827929,0.8999997222083327,0.92,0.8,0.9999994444166653,0.8558139534883721,0.17831342247705767,0.5349402674800399,0.001000002963086425,2,FARSEEING,tabular
LogisticCV,7,0.10907161736583511,0.8125,1.0,0.625,1.0,0.7692307692307693,0.0,1.1319562247373312,0.0009999994759198262,3,FARSEEING,tabular
RandomForest,7,0.15165878116482004,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,0.0010000003493867825,3,FARSEEING,tabular
ExtraTrees,7,0.4369282074576055,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,0.0010000003493867825,3,FARSEEING,tabular
Ensemble,7,0.4369282074576055,0.833333055541666,0.91,0.6666666666666666,0.9999994444166653,0.7695560253699789,0.18865937077232106,0.9432968539477762,0.0009999998148070984,3,FARSEEING,tabular
LogisticCV,7,0.10698348537830381,0.8965514364533347,0.92,0.7931034482758621,0.9999994246308072,0.851851851851852,0.20712081357448786,0.621362440711667,0.0010000027809278977,4,FARSEEING,tabular
RandomForest,7,0.14193337100405348,0.8965512926110364,0.88,0.7931034482758621,0.9999991369462108,0.834295136026381,0.31068122034174894,0.621362440711667,0.0010000024452986689,4,FARSEEING,tabular
ExtraTrees,7,0.5037285630092487,0.8103445399016105,0.9,0.6206896551724138,0.9999994246308072,0.7346938775510204,0.20712081357448786,1.1391644746380563,0.0009999987054301164,4,FARSEEING,tabular
