model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
LogisticCV,7,0.11335318200249536,0.9545446969318163,0.83,0.9090909090909091,0.9999984847727235,0.8677469942498693,0.5454500000461833,0.27272500001893935,0.0010000044193760598,0,FARSEEING,tabular
RandomForest,7,0.17179902279907758,0.9545438130492383,0.7,0.9090909090909091,0.9999967170075675,0.7909604519774012,1.1818083334200753,0.27272500001893935,0.0010000023570005652,0,FARSEEING,tabular
ExtraTrees,7,0.5560431237739359,0.9393928029734819,0.76,0.8787878787878788,0.9999977271590852,0.8150887573964497,0.8181750000692749,0.36363333335858566,0.0010000028199828191,0,FARSEEING,tabular
Ensemble,7,0.5560431237739359,0.9545448232007561,0.86,0.9090909090909091,0.999998737310603,0.8838643371017472,0.4545416666785089,0.27272500001893935,0.0010000047140011304,0,FARSEEING,tabular
LogisticCV,7,0.11474593226249481,0.9302317829069748,0.82,0.8604651162790697,0.9999984495348798,0.8397453639634651,0.558134883769117,0.4186011628197673,0.0010000032301087482,1,FARSEEING,tabular
RandomForest,7,0.16371670032022195,0.9651156007412773,0.85,0.9302325581395349,0.9999986433430199,0.8883082952318746,0.4883680232729988,0.20930058140988364,0.001000005103571822,1,FARSEEING,tabular
ExtraTrees,7,0.5355055211525174,0.9651156976453474,0.87,0.9302325581395349,0.9999988371511599,0.8991086422942772,0.4186011628168463,0.20930058140988364,0.0010000053296794344,1,FARSEEING,tabular
Ensemble,7,0.5355055211525174,0.9651157945494173,0.89,0.9302325581395349,0.9999990309592999,0.9096716494186788,0.34883430236069385,0.20930058140988364,0.0010000055557870468,1,FARSEEING,tabular
LogisticCV,7,0.1140187616559901,0.9411757275718463,0.83,0.8823529411764706,0.9999985139672221,0.8553761593953967,0.5349402674878472,0.35662684498669345,0.0010000038801640237,2,FARSEEING,tabular
RandomForest,7,0.15965765783637187,0.9411754798997167,0.79,0.8823529411764706,0.9999980186229628,0.833626450932114,0.7132536899704743,0.35662684498669345,0.0010000033022672542,2,FARSEEING,tabular
ExtraTrees,7,0.5344068180230171,0.9999995046557406,0.89,1.0,0.9999990093114813,0.9417989417989417,0.35662684500521996,0.0,0.0010000072649879591,2,FARSEEING,tabular
Ensemble,7,0.5344068180230171,0.9666661110833319,0.88,0.9333333333333333,0.9999988888333305,0.9058823529411765,0.3566268449897478,0.17831342249334664,0.001000005463190596,2,FARSEEING,tabular
LogisticCV,7,0.10636161543339678,0.8749989518308632,0.75,0.75,0.9999979036617265,0.75,0.7546374831575432,0.7546374831582208,0.001,3,FARSEEING,tabular
RandomForest,7,0.14979913174490636,0.9374992138731475,0.82,0.875,0.9999984277462949,0.8466076696165191,0.565978112358166,0.3773187415791104,0.001000003581214521,3,FARSEEING,tabular
ExtraTrees,7,0.4439734177599708,0.9374992138731475,0.82,0.875,0.9999984277462949,0.8466076696165191,0.565978112358166,0.3773187415791104,0.001000003581214521,3,FARSEEING,tabular
Ensemble,7,0.4439734177599708,0.9333324999583312,0.81,0.8666666666666667,0.9999983332499959,0.837375745526839,0.565978112354663,0.37731874157911033,0.0010000032408757772,3,FARSEEING,tabular
LogisticCV,7,0.10541192267408188,0.9655168098524157,0.9,0.9310344827586207,0.9999991369462108,0.9152542372881356,0.31068122034174894,0.20712081357055578,0.001000005705696894,4,FARSEEING,tabular
RandomForest,7,0.1456347885994586,0.9999995684731053,0.91,1.0,0.9999991369462108,0.9528795811518325,0.31068122034174894,0.0,0.0010000073358960063,4,FARSEEING,tabular
ExtraTrees,7,0.5164461014033379,0.9655168098524157,0.9,0.9310344827586207,0.9999991369462108,0.9152542372881356,0.31068122034174894,0.20712081357055578,0.001000005705696894,4,FARSEEING,tabular
Ensemble,7,0.5164461014033379,0.9821425595089278,0.93,0.9642857142857143,0.9999994047321413,0.9468325791855203,0.2071208135847463,0.10356040678527781,0.0010000067959180837,4,FARSEEING,tabular
Rocket,7,7.583330458813356,0.8636338382575695,0.55,0.7272727272727273,0.9999949492424116,0.6263345195729537,1.8181666667939673,0.8181750000568178,0.0009999960015168981,0,FARSEEING,ts
Catch22,7,19.40334164398219,0.9242397725946904,0.57,0.8484848484848485,0.9999946967045322,0.6819055757316812,1.9090750001216759,0.454541666698232,0.0009999985689639426,0,FARSEEING,ts
QUANT,7,4.190904740634526,0.969696464621211,0.89,0.9393939393939394,0.9999989898484823,0.9140301474242174,0.3636333333508003,0.18181666667929267,0.00100000572414423,0,FARSEEING,ts
Ensemble,7,4.190904740634526,0.9545441918560574,0.75,0.9090909090909091,0.9999974746212058,0.821917808219178,0.9090833333969837,0.27272500001893935,0.0010000032408757772,0,FARSEEING,ts
Rocket,7,7.751614823680994,0.9186025192732505,0.62,0.8372093023255814,0.9999957362209195,0.7124162144909033,1.5348709303550803,0.4883680232897283,0.0009999995154836877,1,FARSEEING,ts
Catch22,7,18.447899071183073,0.9534875968604631,0.83,0.9069767441860465,0.9999984495348798,0.8667827018342482,0.558134883769117,0.279067441879845,0.0010000043283457224,1,FARSEEING,ts
QUANT,7,4.218463711899081,0.9883715115988357,0.88,0.9767441860465116,0.9999988371511599,0.9258517034068137,0.4186011628168463,0.06976686046996132,0.0010000064279164088,1,FARSEEING,ts
