model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fold,Dataset,model_type
LogisticCV,7,0.16551873239699727,0.8939383837878763,0.76,0.7878787878787878,0.9999979796969647,0.7736883320281911,0.7272666667016006,0.636358333377525,0.0010000009680538036,0,FARSEEING,tabular
RandomForest,7,0.2014004295376396,0.9393922978977232,0.69,0.8787878787878788,0.9999967170075675,0.7730345760092717,1.1818083334200753,0.36363333335858566,0.0010000016414825365,0,FARSEEING,tabular
ExtraTrees,7,0.48765332427364866,0.8787868686363611,0.76,0.7575757575757576,0.9999979796969647,0.7587859424920128,0.7272666667016006,0.7272666667171713,0.0010000002525357749,0,FARSEEING,tabular
Ensemble,7,0.48765332427364866,0.9090901514772709,0.82,0.8181818181818182,0.9999984847727235,0.8190899001109878,0.5454500000461833,0.5454500000378784,0.0010000022728219736,0,FARSEEING,tabular
LogisticCV,7,0.17189637624093204,0.813953197659883,0.9,0.627906976744186,0.99999941857558,0.7397260273972602,0.20930058140842314,1.1162697675193791,0.0009999988694619382,1,FARSEEING,tabular
RandomForest,7,0.20620651067735243,0.8953481588808123,0.83,0.7906976744186046,0.9999986433430199,0.8098722915769837,0.4883680232729988,0.627901744229651,0.0010000018088608988,1,FARSEEING,tabular
ExtraTrees,7,0.5648287752000667,0.8604647286627898,0.89,0.7209302325581395,0.99999922476744,0.7965930417208025,0.27906744186457566,0.8372023256395346,0.0010000008398282744,1,FARSEEING,tabular
Ensemble,7,0.5648287752000667,0.8720927325436039,0.91,0.7441860465116279,0.99999941857558,0.8187825108955433,0.20930058140842314,0.7674354651695732,0.001000001615054374,1,FARSEEING,tabular
LogisticCV,7,0.1770541218542824,0.8529409287984586,0.92,0.7058823529411765,0.9999995046557407,0.7988422575976846,0.17831342248262716,0.8915671124667333,0.0010000008255668135,2,FARSEEING,tabular
RandomForest,7,0.2096913665347548,0.911763962865964,0.82,0.8235294117647058,0.9999985139672221,0.8217609162491051,0.5349402674878472,0.5349402674800402,0.0010000024767004407,2,FARSEEING,tabular
ExtraTrees,7,0.5491449370368202,0.8529404334541992,0.8,0.7058823529411765,0.9999985139672221,0.7500000000000001,0.5349402674878472,0.8915671124667333,0.0009999996697732745,2,FARSEEING,tabular
Ensemble,7,0.5491449370368202,0.8999997222083327,0.92,0.8,0.9999994444166653,0.8558139534883721,0.17831342247705767,0.5349402674800399,0.001000002963086425,2,FARSEEING,tabular
LogisticCV,7,0.16771613865599785,0.8124997379577158,0.91,0.625,0.9999994759154316,0.7410423452768728,0.1886593707993772,1.1319562247373312,0.0009999988644929568,3,FARSEEING,tabular
RandomForest,7,0.19626851238845472,0.8749997379577158,0.92,0.75,0.9999994759154316,0.8263473053892216,0.1886593707993772,0.7546374831582208,0.0010000018342806083,3,FARSEEING,tabular
ExtraTrees,7,0.4699787075647254,0.8124997379577158,0.91,0.625,0.9999994759154316,0.7410423452768728,0.1886593707993772,1.1319562247373312,0.0009999988644929568,3,FARSEEING,tabular
Ensemble,7,0.4699787075647254,0.833333055541666,0.91,0.6666666666666666,0.9999994444166653,0.7695560253699789,0.18865937077232106,0.9432968539477762,0.0009999998148070984,3,FARSEEING,tabular
LogisticCV,7,0.14933421938992794,0.8793097694583933,0.85,0.7586206896551724,0.9999988492616143,0.8017148981779207,0.4142416271489757,0.724922847496945,0.0010000012945698834,4,FARSEEING,tabular
RandomForest,7,0.1763329116625851,0.8965514364533347,0.92,0.7931034482758621,0.9999994246308072,0.851851851851852,0.20712081357448786,0.621362440711667,0.0010000027809278977,4,FARSEEING,tabular
ExtraTrees,7,0.49298193511147825,0.8448272985223002,0.91,0.6896551724137931,0.9999994246308072,0.7846518646259969,0.20712081357448786,0.9320436610675005,0.001000000335629229,4,FARSEEING,tabular
Ensemble,7,0.49298193511147825,0.874999553549106,0.88,0.75,0.999999107098212,0.8098159509202455,0.3106812203578046,0.7249228474969449,0.0010000013889467617,4,FARSEEING,tabular
Rocket,7,2.393817821344409,0.8030294191477251,0.74,0.6060606060606061,0.9999982322348441,0.6663665015758666,0.636358333373892,1.1818083334154035,0.000999996969570702,0,FARSEEING,ts
