model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
LogisticCV,7,0.12745949704671244,0.8787877525189391,0.96,0.7575757575757576,0.9999997474621206,0.8468595624558928,0.09090833332770865,0.7272666667171713,37.81242424242424,0.0009999960015168983,0,FARSEEING,tabular
RandomForest,7,0.19350685352768546,0.9999994949242412,0.89,1.0,0.9999989898484823,0.9417989417989417,0.3636333333508003,0.0,3.370909090909091,0.0009999988214997174,0,FARSEEING,tabular
ExtraTrees,7,0.464046108026411,0.93939368685606,0.94,0.8787878787878788,0.9999994949242411,0.9083638787070976,0.18181666669538302,0.36363333335858566,22.855757575757575,0.000999997558820843,0,FARSEEING,tabular
Ensemble,7,0.464046108026411,0.9242422979734846,0.97,0.8484848484848485,0.9999997474621206,0.905182469588402,0.09090833332770865,0.454541666698232,22.84272727272727,0.00099999739046366,0,FARSEEING,tabular
LogisticCV,7,0.1334536875380368,0.7558139534883721,1.0,0.5116279069767442,1.0,0.676923076923077,0.0,1.4651040698691853,84.79093023255814,0.000999992538448792,1,FARSEEING,tabular
RandomForest,7,0.18807691563812978,0.9302324612354649,0.97,0.8604651162790697,0.99999980619186,0.9119552788718078,0.06976686045615249,0.4186011628197673,28.9846511627907,0.0009999976420206138,1,FARSEEING,tabular
ExtraTrees,7,0.5091505536790611,0.8837208333284882,0.97,0.7674418604651163,0.99999980619186,0.8569133984740999,0.06976686045615249,0.6976686046996119,41.32581395348837,0.0009999962207727648,1,FARSEEING,tabular
Ensemble,7,0.5091505536790611,0.8604651162790697,1.0,0.7209302325581395,1.0,0.8378378378378378,0.0,0.8372023256395346,48.81418604651163,0.0009999957362564526,1,FARSEEING,tabular
LogisticCV,7,0.1305291106725315,0.8823529411764706,1.0,0.7647058823529411,1.0,0.8666666666666666,0.0,0.7132536899733869,44.8235294117647,0.0009999963675060206,2,FARSEEING,tabular
RandomForest,7,0.18848818425984146,0.8823524458322112,0.87,0.7647058823529411,0.9999990093114813,0.8139618567830155,0.35662684500521996,0.7132536899733869,44.8235294117647,0.0009999952117124816,2,FARSEEING,tabular
ExtraTrees,7,0.528482165704446,0.8823524458322112,0.87,0.7647058823529411,0.9999990093114813,0.8139618567830155,0.35662684500521996,0.7132536899733869,44.8235294117647,0.0009999952117124816,2,FARSEEING,tabular
Ensemble,7,0.528482165704446,0.9,1.0,0.8,1.0,0.888888888888889,0.0,0.5349402674800399,40.2,0.0009999969443171242,2,FARSEEING,tabular
LogisticCV,7,0.10959812067382349,0.8125,1.0,0.625,1.0,0.7692307692307693,0.0,1.1319562247373312,59.3725,0.0009999942351180883,3,FARSEEING,tabular
RandomForest,7,0.15218925808268005,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,49.31,0.0009999945845048709,3,FARSEEING,tabular
ExtraTrees,7,0.40842351704360796,0.8437497379577158,0.92,0.6875,0.9999994759154316,0.786936236391913,0.1886593707993772,0.943296853947776,49.31,0.0009999945845048709,3,FARSEEING,tabular
