model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
LogisticCV,14,0.16247494723534367,0.8787877525115726,0.96,0.7575757575757576,0.9999997474473876,0.8468595624558928,0.0909083333349921,0.7272666667171713,37.78212121212121,0.00099999600128363,0,FARSEEING,tabular
RandomForest,14,0.2251348013007688,0.9696965908680512,0.91,0.9393939393939394,0.9999992423421629,0.9244633786662297,0.2727250000049763,0.18181666667929267,16.310303030303032,0.0009999981900546957,0,FARSEEING,tabular
ExtraTrees,14,0.5271927293011084,0.9393936868413271,0.94,0.8787878787878788,0.9999994948947752,0.9083638787070976,0.1818166666699842,0.36363333335858566,18.764848484848486,0.0009999975586784267,0,FARSEEING,tabular
Ensemble,14,0.5271927293011084,0.9393938131176331,0.97,0.8787878787878788,0.9999997474473876,0.9221439108342895,0.0909083333349921,0.36363333335858566,27.206363636363633,0.0009999978533206857,0,FARSEEING,tabular
LogisticCV,14,0.18148072325125644,0.7674418604651163,1.0,0.5348837209302325,1.0,0.6969696969696969,0.0,1.3953372093992242,81.04674418604651,0.000999992893346182,1,FARSEEING,tabular
RandomForest,14,0.22748916514969797,0.9534882751832998,0.98,0.9069767441860465,0.9999998061805533,0.9420754251910278,0.06976686046824804,0.279067441879845,20.48046511627907,0.0009999983525484331,1,FARSEEING,tabular
ExtraTrees,14,3.367187335079296,0.9069766472763232,0.97,0.813953488372093,0.9999998061805533,0.8851518706817886,0.06976686046824804,0.5581348837596896,33.65139534883721,0.0009999969312176696,1,FARSEEING,tabular
Ensemble,14,3.367187335079296,0.8604651162790697,1.0,0.7209302325581395,1.0,0.8378378378378378,0.0,0.8372023256395346,48.62813953488373,0.0009999957360077093,1,FARSEEING,tabular
LogisticCV,14,0.17376794649046057,0.7941173993720938,0.91,0.5882352941176471,0.9999995046265404,0.7145661562622693,0.1783134224974967,1.2481939574534267,65.29411764705883,0.0009999930648299695,2,FARSEEING,tabular
RandomForest,14,0.22223605289942897,0.9117644581956231,0.93,0.8235294117647058,0.9999995046265404,0.8735323716873533,0.1783134224974967,0.5349402674800402,35.35294117647059,0.0009999966975380806,2,FARSEEING,tabular
ExtraTrees,14,0.6971479971197587,0.8823526934897408,0.93,0.7647058823529411,0.9999995046265404,0.8392919125303714,0.1783134224974967,0.7132536899733869,44.8235294117647,0.000999995789361053,2,FARSEEING,tabular
Ensemble,14,0.6971479971197587,0.8666666666666667,1.0,0.7333333333333333,1.0,0.846153846153846,0.0,0.7132536899733869,50.93333333333333,0.0009999959255184779,2,FARSEEING,tabular
LogisticCV,14,0.1598543515250166,0.8125,1.0,0.625,1.0,0.7692307692307693,0.0,1.1319562247373312,59.3725,0.0009999942347796874,3,FARSEEING,tabular
RandomForest,14,0.2063833363166391,0.8437497379423338,0.92,0.6875,0.9999994758846674,0.786936236391913,0.18865937077205844,0.943296853947776,49.31,0.0009999945841869789,3,FARSEEING,tabular
ExtraTrees,14,0.5728574539456556,0.8437497379423338,0.92,0.6875,0.9999994758846674,0.786936236391913,0.18865937077205844,0.943296853947776,49.31,0.0009999945841869789,3,FARSEEING,tabular
Ensemble,14,0.5728574539456556,0.866666388858793,0.92,0.7333333333333333,0.9999994443842527,0.8161290322580644,0.1886593708025148,0.754637483158221,41.93066666666667,0.0009999952773055083,3,FARSEEING,tabular
LogisticCV,14,0.16242925072182016,0.8793102009768872,0.96,0.7586206896551724,0.9999997122986019,0.8475120385232744,0.10356040677744231,0.724922847496945,37.86206896551724,0.0009999959722140307,4,FARSEEING,tabular
RandomForest,14,0.19555524941650063,0.8965515802872319,0.96,0.7931034482758621,0.9999997122986019,0.8686073957513769,0.10356040677744231,0.621362440711667,36.10344827586207,0.0009999964996621935,4,FARSEEING,tabular
ExtraTrees,14,0.4634898026443855,0.7758619251148182,0.94,0.5517241379310345,0.9999997122986019,0.6953305594082293,0.10356040677744231,1.346285288208612,71.17241379310344,0.000999992807525055,4,FARSEEING,tabular
Ensemble,14,0.4634898026443855,0.8749998511743534,0.95,0.75,0.9999997023487068,0.838235294117647,0.10356040678273487,0.7249228474969449,39.25,0.000999995832916625,4,FARSEEING,tabular
Rocket,14,15.843758079334325,0.9393934342887147,0.88,0.8787878787878788,0.9999989897895505,0.8793935217091661,0.3636333333399684,0.36363333335858566,38.11545454545455,0.000999996969393909,0,FARSEEING,ts
Catch22,14,25.073875650849068,0.9090897726041534,0.75,0.8181818181818182,0.9999977270264885,0.7826086956521738,0.8181750000548922,0.5454500000378784,40.34060606060606,0.000999994570164087,0,FARSEEING,ts
QUANT,14,6.166090841175159,0.9090907828146029,0.96,0.8181818181818182,0.9999997474473876,0.8834355828220859,0.0909083333349921,0.5454500000378784,42.418484848484844,0.0009999969273021578,0,FARSEEING,ts
Ensemble,14,6.166090841175159,0.9242420454135056,0.9,0.8484848484848485,0.9999992423421629,0.8734835355285963,0.2727250000049763,0.454541666698232,40.75181818181818,0.000999996801026904,0,FARSEEING,ts
Rocket,14,15.843672646722085,0.9418599805676623,0.88,0.8837209302325582,0.9999990309027664,0.8818565400843881,0.3488343023412402,0.34883430234980595,29.89674418604651,0.000999997092732529,1,FARSEEING,ts
Catch22,14,29.495500101458912,0.8837208333228348,0.97,0.7674418604651163,0.9999998061805533,0.8569133984740999,0.06976686046824804,0.6976686046996119,39.27279069767442,0.0009999962205522878,1,FARSEEING,ts
