model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,threshold,model_type
LogisticCV,7,0.10666559658857498,0.8787872474431803,0.83,0.7575757575757576,0.999998737310603,0.7921359037984349,0.4545416666785089,0.7272666667171713,3.9696969696969697,0.0009999948230166155,default,tabular
RandomForest,7,0.1709625779211036,0.9545444443939368,0.79,0.9090909090909091,0.9999979796969647,0.8453718566078116,0.7272666667016006,0.27272500001893935,1.2824242424242425,0.000999996254052673,default,tabular
ExtraTrees,7,0.667502880672609,0.93939368685606,0.94,0.8787878787878788,0.9999994949242411,0.9083638787070976,0.18181666669538302,0.36363333335858566,1.9090909090909092,0.000999997558820843,default,tabular
Rocket,7,8.360278476179731,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,1.221818181818182,0.0009999941495878828,default,ts
Catch22,7,17.075863239444317,0.8636359848295445,0.89,0.7272727272727273,0.9999992423863617,0.8004496908375492,0.27272500002309163,0.8181750000568178,4.736969696969696,0.000999994949284503,default,ts
QUANT,7,4.424086101925306,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,0.8787878787878788,0.0009999974325529558,default,ts
LogisticCV,7,0.13739749533561016,0.9545443181249971,0.77,0.9090909090909091,0.9999977271590852,0.8337845154304276,0.8181750000692749,0.27272500001893935,-0.6060606060606061,0.0009999959594276025,auto,tabular
RandomForest,7,0.17097847236059002,0.9545444443939368,0.79,0.9090909090909091,0.9999979796969647,0.8453718566078116,0.7272666667016006,0.27272500001893935,1.2824242424242425,0.000999996254052673,auto,tabular
ExtraTrees,7,0.4834989151528799,0.9545452020075751,0.94,0.9090909090909091,0.9999994949242411,0.9242871189773844,0.18181666669538302,0.27272500001893935,1.2727272727272727,0.000999998021803097,auto,tabular
Rocket,7,8.76686419865772,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,1.221818181818182,0.0009999941495878828,auto,ts
Catch22,7,16.82594304656938,0.8787873737121199,0.86,0.7575757575757576,0.9999989898484823,0.8055451479955038,0.3636333333508003,0.7272666667171713,3.9490909090909088,0.0009999951176416864,auto,ts
QUANT,7,12.400658901267782,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,-0.47515151515151516,0.0009999977692673222,auto,ts
