model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,threshold,model_type
LogisticCV,7,0.13299672240280158,0.8636357322916651,0.83,0.7272727272727273,0.999998737310603,0.7752481027437246,0.4545416666785089,0.8181750000568178,359969.9093416646,default,tabular
RandomForest,7,0.1703526288058114,0.9393934343181806,0.88,0.8787878787878788,0.9999989898484823,0.8793935217091661,0.3636333333508003,0.36363333335858566,359974.63657499827,default,tabular
ExtraTrees,7,0.4629414444821033,0.93939368685606,0.94,0.8787878787878788,0.9999994949242411,0.9083638787070976,0.18181666669538302,0.36363333335858566,359975.0002083316,default,tabular
Ensemble,7,0.4629414444821033,0.9242421717045448,0.93,0.8484848484848485,0.9999994949242411,0.8873743397512354,0.18181666669538302,0.454541666698232,359974.09112499823,default,tabular
Rocket,7,11.73883629590664,0.909089646401512,0.73,0.8181818181818182,0.9999974746212058,0.7715795654726952,0.9090833333969837,0.5454500000378784,359971.72750833136,default,ts
Catch22,7,13.527373993557989,0.8181814393749991,0.88,0.6363636363636364,0.9999992423863617,0.7386091127098321,0.27272500002309163,1.090900000075757,359967.54572499776,default,ts
QUANT,7,4.939187136387104,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,359975.54565833166,default,ts
Ensemble,7,4.939187136387104,0.9090904040151503,0.87,0.8181818181818182,0.9999989898484823,0.8432956381260098,0.3636333333508003,0.5454500000378784,359972.8184083315,default,ts
LogisticCV,7,0.12749128592568532,0.9393926767045423,0.74,0.8787878787878788,0.9999974746212058,0.8034444028453763,0.9090833333969837,0.36363333335858566,359973.5456749982,auto,tabular
RandomForest,7,0.26497818748340674,0.9848467170833289,0.7,0.9696969696969697,0.9999964644696882,0.8130671506352086,1.272716666747784,0.09090833333964633,359975.54565833166,auto,tabular
ExtraTrees,7,0.46567330126883544,0.9848470958901481,0.74,0.9696969696969697,0.9999972220833264,0.8394186458702587,0.9999916667246923,0.09090833333964633,359976.0911083317,auto,tabular
Ensemble,7,0.46567330126883544,0.9242421717045448,0.93,0.8484848484848485,0.9999994949242411,0.8873743397512354,0.18181666669538302,0.454541666698232,359974.09112499823,auto,tabular
Rocket,7,11.396132312529598,0.909089646401512,0.73,0.8181818181818182,0.9999974746212058,0.7715795654726952,0.9090833333969837,0.5454500000378784,359971.72750833136,auto,ts
Catch22,7,27.13764344945258,0.9393928029734819,0.76,0.8787878787878788,0.9999977271590852,0.8150887573964497,0.8181750000692749,0.36363333335858566,359973.7274916649,auto,ts
QUANT,7,5.218937218568223,0.9999983585037837,0.72,1.0,0.9999967170075675,0.8372093023255813,1.1818083334200753,0.0,359976.6365583317,auto,ts
Ensemble,7,5.218937218568223,0.9090904040151503,0.87,0.8181818181818182,0.9999989898484823,0.8432956381260098,0.3636333333508003,0.5454500000378784,359972.8184083315,auto,ts
