model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,threshold,model_type
LogisticCV,7,0.11057960231211127,0.9545446969318163,0.83,0.9090909090909091,0.9999984847727235,0.8677469942498693,0.5454500000461833,0.27272500001893935,0.0010000044193760598,default,tabular
RandomForest,7,0.1697844025941711,0.9848474746969672,0.8,0.9696969696969697,0.9999979796969647,0.8767123287671234,0.7272666667016006,0.09090833333964633,0.001000005261161976,default,tabular
ExtraTrees,7,0.5792609262537558,0.9696965908901506,0.91,0.9393939393939394,0.9999992423863617,0.9244633786662297,0.27272500002309163,0.18181666667929267,0.0010000060187693007,default,tabular
Rocket,7,7.481162988599444,0.9242402776704493,0.62,0.8484848484848485,0.9999957068560499,0.7164671894345853,1.5454416667708757,0.454541666698232,0.0009999997474642252,default,ts
Catch22,7,17.138499251850515,0.9545445706628766,0.81,0.9090909090909091,0.9999982322348441,0.8566895822316235,0.636358333373892,0.27272500001893935,0.0010000041247509891,default,ts
QUANT,7,4.22838184213862,0.9848479797727261,0.89,0.9696969696969697,0.9999989898484823,0.9281407854000325,0.3636333333508003,0.09090833333964633,0.0010000064396622588,default,ts
LogisticCV,7,0.10896631670423743,0.9696957070075727,0.76,0.9393939393939394,0.9999974746212058,0.8402282453637661,0.9090833333969837,0.18181666667929267,0.0010000039563938061,auto,tabular
RandomForest,7,0.17160034230549706,0.9696957070075727,0.76,0.9393939393939394,0.9999974746212058,0.8402282453637661,0.9090833333969837,0.18181666667929267,0.0010000039563938061,auto,tabular
ExtraTrees,7,0.4727006303267785,0.9848481060416657,0.91,0.9696969696969697,0.9999992423863617,0.9389005320006448,0.27272500002309163,0.09090833333964633,0.0010000067342873292,auto,tabular
Rocket,7,8.02089444385042,0.9242402776704493,0.62,0.8484848484848485,0.9999957068560499,0.7164671894345853,1.5454416667708757,0.454541666698232,0.0009999997474642252,auto,ts
Catch22,7,15.636295907937543,0.9696950756628742,0.67,0.9393939393939394,0.9999962119318088,0.7821502541894183,1.3636250000754926,0.18181666667929267,0.0010000024832684527,auto,ts
QUANT,7,4.254937476910593,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000058504121172,auto,ts
