model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,threshold,model_type
LogisticCV,7,0.11297568906469237,0.8636357322916651,0.83,0.7272727272727273,0.999998737310603,0.7752481027437246,0.4545416666785089,0.8181750000568178,0.9999664127419451,default,tabular
RandomForest,7,0.17438385602056017,0.9393934343181806,0.88,0.8787878787878788,0.9999989898484823,0.8793935217091661,0.3636333333508003,0.36363333335858566,0.9999795446022373,default,tabular
ExtraTrees,7,0.4867334335883708,0.93939368685606,0.94,0.8787878787878788,0.9999994949242411,0.9083638787070976,0.18181666669538302,0.36363333335858566,0.9999805547453366,default,tabular
Ensemble,7,0.4867334335883708,0.9242421717045448,0.93,0.8484848484848485,0.9999994949242411,0.8873743397512354,0.18181666669538302,0.454541666698232,0.9999780293875882,default,tabular
Rocket,7,8.558647041385333,0.909089646401512,0.73,0.8181818181818182,0.9999974746212058,0.7715795654726952,0.9090833333969837,0.5454500000378784,0.999971463457442,default,ts
Catch22,7,14.958785490803283,0.8181814393749991,0.88,0.6363636363636364,0.9999992423863617,0.7386091127098321,0.27272500002309163,1.090900000075757,0.999959846811799,default,ts
QUANT,7,4.38553016534107,0.9545449494696957,0.88,0.9090909090909091,0.9999989898484823,0.8943089430894309,0.3636333333508003,0.27272500001893935,0.9999820699599857,default,ts
Ensemble,7,4.38553016534107,0.9090904040151503,0.87,0.8181818181818182,0.9999989898484823,0.8432956381260098,0.3636333333508003,0.5454500000378784,0.9999744938867402,default,ts
LogisticCV,7,0.11077629600075599,0.9393926767045423,0.74,0.8787878787878788,0.9999974746212058,0.8034444028453763,0.9090833333969837,0.36363333335858566,0.999976514172939,auto,tabular
RandomForest,7,0.1691804138936863,0.9848467170833289,0.7,0.9696969696969697,0.9999964644696882,0.8130671506352086,1.272716666747784,0.09090833333964633,0.9999820699599857,auto,tabular
ExtraTrees,7,0.4965065270675967,0.9848470958901481,0.74,0.9696969696969697,0.9999972220833264,0.8394186458702587,0.9999916667246923,0.09090833333964633,0.9999835851746348,auto,tabular
Ensemble,7,0.4965065270675967,0.9242421717045448,0.93,0.8484848484848485,0.9999994949242411,0.8873743397512354,0.18181666669538302,0.454541666698232,0.9999780293875882,auto,tabular
Rocket,7,9.75869907746598,0.909089646401512,0.73,0.8181818181818182,0.9999974746212058,0.7715795654726952,0.9090833333969837,0.5454500000378784,0.999971463457442,auto,ts
Catch22,7,13.526259395989001,0.9393928029734819,0.76,0.8787878787878788,0.9999977271590852,0.8150887573964497,0.8181750000692749,0.36363333335858566,0.9999770192444887,auto,ts
QUANT,7,4.277759905208187,0.9999983585037837,0.72,1.0,0.9999967170075675,0.8372093023255813,1.1818083334200753,0.0,0.9999851003892839,auto,ts
Ensemble,7,4.277759905208187,0.9090904040151503,0.87,0.8181818181818182,0.9999989898484823,0.8432956381260098,0.3636333333508003,0.5454500000378784,0.9999744938867402,auto,ts
