model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,threshold,model_type
LogisticCV,14,0.16115173514809739,0.8939386362815567,0.81,0.7878787878787878,0.9999984846843256,0.7987862696757064,0.545450000049916,0.636358333377525,3.8484848484848486,0.0009999949910815997,default,tabular
RandomForest,14,0.24787378379105957,0.9848479797432601,0.89,0.9696969696969697,0.9999989897895505,0.9281407854000325,0.3636333333399684,0.09090833333964633,0.8884848484848485,0.0009999983584217007,default,tabular
ExtraTrees,14,0.5547119644669465,0.9393936868413271,0.94,0.8787878787878788,0.9999994948947752,0.9083638787070976,0.1818166666699842,0.36363333335858566,1.9090909090909092,0.0009999975586784267,default,tabular
Rocket,14,19.747301288078663,0.954543812953474,0.7,0.9090909090909091,0.9999967168160389,0.7909604519774012,1.181808333434824,0.27272500001893935,-3.4145454545454546,0.0009999947806228434,default,ts
Catch22,14,26.654126653055275,0.8636356059785264,0.8,0.7272727272727273,0.9999984846843256,0.761904761904762,0.545450000049916,0.8181750000568178,3.464242424242424,0.000999994065063072,default,ts
QUANT,14,6.041985070860086,0.9545448231639235,0.86,0.9090909090909091,0.999998737236938,0.8838643371017472,0.4545416667149239,0.27272500001893935,0.7975757575757576,0.000999997137760914,default,ts
LogisticCV,14,0.16357563716977977,0.9696957069339078,0.76,0.9393939393939394,0.9999974744738761,0.8402282453637661,0.9090833333898842,0.18181666667929267,-2.4242424242424243,0.000999996127558884,auto,tabular
RandomForest,14,0.23482246216775504,0.9696958332102139,0.78,0.9393939393939394,0.9999977270264885,0.8523087768769827,0.8181750000548922,0.18181666667929267,1.524848484848485,0.0009999964222011427,auto,tabular
ExtraTrees,14,0.630178763148572,0.9545450757165359,0.91,0.9090909090909091,0.9999992423421629,0.9095452273863068,0.2727250000049763,0.27272500001893935,1.2424242424242424,0.0009999977270454318,auto,tabular
Rocket,14,15.49762487063808,0.954543812953474,0.7,0.9090909090909091,0.9999967168160389,0.7909604519774012,1.181808333434824,0.27272500001893935,-3.4145454545454546,0.0009999947806228434,auto,ts
Catch22,14,29.229741099635735,0.8787871211300415,0.81,0.7575757575757576,0.9999984846843256,0.7829112700560603,0.545450000049916,0.7272666667171713,2.736969696969697,0.0009999945280723358,auto,ts
QUANT,14,6.03647963438297,0.9545449494402298,0.88,0.9090909090909091,0.9999989897895505,0.8943089430894309,0.3636333333399684,0.27272500001893935,0.8581818181818182,0.000999997432403173,auto,ts
