model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,g,fn_factor
Rocket,7,8.059436472800105,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000009259645078,2
Catch22,7,17.243015125498548,0.9242410352840875,0.72,0.8484848484848485,0.9999972220833264,0.7789799072642969,0.9999916667246923,0.454541666698232,0.0010000012626788742,2
QUANT,7,4.482043188707681,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000056399656384,2
Rocket,7,8.031289407274553,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000011616645643,4
Catch22,7,15.640561578134717,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000012626788742,4
QUANT,7,4.201714946290243,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000058083228214,4
Rocket,7,7.75452946652182,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000012626788742,6
Catch22,7,16.25439489707642,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000014069850313,6
QUANT,7,4.211559564747158,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000058804759,6
Rocket,7,7.8744907617408035,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000013187979352,8
Catch22,7,17.257614168166842,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000014871551187,8
QUANT,7,4.468469337386259,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059205609437,8
Rocket,7,7.888092428331326,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000013545100651,10
Catch22,7,16.197166967705485,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000015381724469,10
QUANT,7,4.485573741078606,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059460696078,10
Rocket,7,8.032445727747191,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.0010000013792338472,12
Catch22,7,16.081032258792863,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000015734921354,12
QUANT,7,4.200739425066762,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059637294521,12
Rocket,7,8.158254189892249,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.001000001397364621,14
Catch22,7,16.49923681653544,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000015993932407,14
QUANT,7,4.187918572816011,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059766800049,14
Rocket,7,7.667870995636804,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.00100000141122933,16
Catch22,7,16.056232959584143,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000016191999681,16
QUANT,7,4.206469370501624,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059865833686,16
Rocket,7,8.146013484682753,0.9242409090151478,0.7,0.8484848484848485,0.9999969695454469,0.7671232876712328,1.0909000000923665,0.454541666698232,0.001000001422175153,18
Catch22,7,16.364390378737404,0.9393921716287834,0.67,0.8787878787878788,0.9999964644696882,0.7603208765407944,1.272716666747784,0.36363333335858566,0.0010000016348368584,18
QUANT,7,4.464797721864891,0.9848477272348466,0.84,0.9696969696969697,0.9999984847727235,0.9002009377093102,0.5454500000461833,0.09090833333964633,0.0010000059944018135,18
