model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh
MiniRocket,0,3,0.8018378960825837,3.9904761904761905,0.8421052631578947,0.7619047619047619,0.9999988033711428,0.8,0.8809517826379523,0.430775563538199,0.717959272563665,2.321349988276498,0.5
DummyADL,0,3,0.04854118923347635,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.015428944767393,2.321287376903234,0.5
DummyFall,0,3,0.00047647921650500563,0.0,2.5128785023244127e-05,1.0,0.0,5.02563071665494e-05,0.5,119995.97942807364,0.0,-0.4144954467450453,0.5
MiniRocket,1,3,0.7751491443645454,3.9904761904761905,0.8,0.7619047619047619,0.9999984044948571,0.7804878048780488,0.8809515831998095,0.574367418050932,0.717959272563665,2.32134860524936,0.5
MiniRocket,2,3,0.7919183375503265,3.9904761904761905,0.8421052631578947,0.7619047619047619,0.9999988033711428,0.8,0.8809517826379523,0.430775563538199,0.717959272563665,2.321349988276498,0.5
ExtraTrees,0,60,0.483372849414481,3.9980952380952384,0.9411764705882353,0.7619047619047619,0.9999996009331779,0.8421052631578947,0.8809521814189698,0.143591854512733,0.717959272563665,2.3202444210598463,0.5
Catch22,0,60,130.6104951701091,-47.48761904761905,0.782608695652174,0.8571428571428571,0.9999980046658893,0.8181818181818182,0.9285704309043732,0.717959272563665,0.430775563538199,2.320247233914521,0.5
QUANT,0,60,10.189418749601613,-0.15428571428571422,0.8571428571428571,0.8571428571428571,0.9999988027995336,0.8571428571428571,0.9285708299711953,0.430775563538199,0.430775563538199,2.32025,0.5
DummyADL,0,60,0.08362512570440973,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.015428944767393,2.320179043897529,0.5
DummyFall,0,60,0.000541088752036271,0.0,0.0005025847214244687,1.0,0.0,0.001004664513814137,0.5,5996.826620015268,0.0,-0.026948753219905898,0.5
ExtraTrees,1,60,0.4830850939436524,3.9980952380952384,0.8888888888888888,0.7619047619047619,0.9999992018663557,0.8205128205128205,0.8809519818855588,0.287183709025466,0.717959272563665,2.3202430380171073,0.5
Catch22,1,60,130.642131282119,-48.63047619047619,0.6923076923076923,0.8571428571428571,0.9999968074654229,0.7659574468085106,0.92856983230414,1.148734836101864,0.430775563538199,2.3202430847863025,0.5
QUANT,1,60,10.073035263472855,-3.487619047619048,0.8571428571428571,0.8571428571428571,0.9999988027995336,0.8571428571428571,0.9285708299711953,0.430775563538199,0.430775563538199,2.32025,0.5
ExtraTrees,2,60,0.4964122514497737,4.56952380952381,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.5
Catch22,2,60,130.76286539461427,-52.29714285714286,0.72,0.8571428571428571,0.999997206532245,0.782608695652174,0.928570031837551,1.005142981589131,0.430775563538199,2.320244467829042,0.5
QUANT,2,60,10.023988184175279,-0.9638095238095239,0.8636363636363636,0.9047619047619048,0.9999988027995336,0.8837209302325582,0.9523803537807192,0.430775563538199,0.287183709025466,2.320254172512816,0.5
MiniRocket,0,3,0.8259339808664027,3.9904761904761905,0.8421052631578947,0.7619047619047619,0.9999988033711428,0.8,0.8809517826379523,0.430775563538199,0.717959272563665,2.321349988276498,0.010101010101010102
MiniRocket,1,3,0.8053436131734808,3.9904761904761905,0.8,0.7619047619047619,0.9999984044948571,0.7804878048780488,0.8809515831998095,0.574367418050932,0.717959272563665,2.32134860524936,0.010101010101010102
MiniRocket,2,3,0.8314736214631566,3.9904761904761905,0.8421052631578947,0.7619047619047619,0.9999988033711428,0.8,0.8809517826379523,0.430775563538199,0.717959272563665,2.321349988276498,0.010101010101010102
ExtraTrees,0,60,0.4780877904883455,3.9980952380952384,0.9411764705882353,0.7619047619047619,0.9999996009331779,0.8421052631578947,0.8809521814189698,0.143591854512733,0.717959272563665,2.3202444210598463,0.48484848484848486
Catch22,0,60,131.13449151100326,-45.582857142857144,0.782608695652174,0.8571428571428571,0.9999980046658893,0.8181818181818182,0.9285704309043732,0.717959272563665,0.430775563538199,2.320247233914521,0.5236363636363637
QUANT,0,60,10.03878113099604,2.845714285714286,0.8571428571428571,0.8571428571428571,0.9999988027995336,0.8571428571428571,0.9285708299711953,0.430775563538199,0.430775563538199,2.32025,0.5252525252525253
ExtraTrees,1,60,0.4930218446638761,3.9980952380952384,0.8888888888888888,0.7619047619047619,0.9999992018663557,0.8205128205128205,0.8809519818855588,0.287183709025466,0.717959272563665,2.3202430380171073,0.48484848484848486
Catch22,1,60,130.74051245327857,-44.67809523809524,0.7391304347826086,0.8095238095238095,0.9999976055990671,0.7727272727272727,0.9047607075614383,0.861551127076398,0.574367418050932,2.3202416783589657,0.5236363636363637
QUANT,1,60,10.074833693166227,0.27428571428571435,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.5252525252525253
ExtraTrees,2,60,0.5106258842997778,3.9980952380952384,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.48484848484848486
Catch22,2,60,130.88544213142018,-46.29714285714286,0.7391304347826086,0.8095238095238095,0.9999976055990671,0.7727272727272727,0.9047607075614383,0.861551127076398,0.574367418050932,2.3202416783589657,0.5236363636363637
QUANT,2,60,10.444558662658617,0.27428571428571435,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.5252525252525253
